name,tree,rep,total_entropy
HA,spiralia,14,2.8405462070815783
HIV,rayfinned,19,2.8499578415572153
NP,spiralia,4,2.8034830598262173
HIV,rayfinned,18,2.8247581653652705
NP,spiralia,5,2.81931072039296
NP,rayfinned,6,2.803790906257995
HIV,dosreis,5,2.8602396437497273
HA,rayfinned,9,2.82844504043476
HIV,dosreis,4,2.853475403101864
NP,rayfinned,7,2.8347843770081105
HA,rayfinned,8,2.8078624790642093
HA,spiralia,4,2.815399965305853
HA,spiralia,5,2.8338937945328335
NP,ruhfel,16,2.803753854289321
NP,ruhfel,17,2.8158219252894083
NP,opisthokonta,17,2.8073126823568892
HIV,opisthokonta,17,2.857270163245043
NP,ruhfel,7,2.8156710554110846
HIV,andersen,10,2.8469717846429505
NP,ruhfel,6,2.7826605274489373
NP,opisthokonta,16,2.802654893320829
HIV,opisthokonta,16,2.867431641490177
HIV,andersen,11,2.8578599151021877
HA,salichos,20,2.8481829333771844
LAC,ruhfel,13,2.7968407058801534
HA,ruhfel,11,2.8328680375220388
LAC,ruhfel,12,2.816792894001357
HA,ruhfel,10,2.804751826579235
HA,rayfinned,19,2.86014697846566
HA,rayfinned,18,2.8356094850606186
NP,spiralia,10,2.812545619610517
NP,spiralia,11,2.796012596200094
HA,prum,4,2.7875491160530714
HA,prum,5,2.834686834388067
HA,salichos,14,2.8438770688083075
LAC,andersen,13,2.8114198522729685
HA,salichos,15,2.843704674856119
LAC,andersen,12,2.7590605384043427
HIV,ruhfel,3,2.838394786392435
HIV,ruhfel,2,2.861522693203751
HIV,prum,1,2.8738053611821455
LAC,prum,4,2.78532992035856
LAC,prum,5,2.786782397395468
HIV,opisthokonta,9,2.8488612328983045
LAC,salichos,5,2.7463976735838664
LAC,salichos,4,2.811496809173064
HIV,opisthokonta,8,2.867389640090882
HIV,prum,19,2.8187224197859284
HIV,prum,18,2.8186381603059285
LAC,rayfinned,16,2.8418890822291547
LAC,rayfinned,17,2.780083612726813
LAC,ruhfel,19,2.826050285884454
LAC,ruhfel,18,2.802302027245217
HA,rayfinned,13,2.836594671770783
HA,rayfinned,12,2.8376571185834294
LAC,prum,17,2.762328826410157
LAC,prum,16,2.842361782349826
HA,spiralia,20,2.843613544717299
LAC,opisthokonta,17,2.7751466532475293
LAC,opisthokonta,16,2.809302250829097
LAC,andersen,1,2.7907489167775674
HIV,rayfinned,13,2.82509972314787
HIV,rayfinned,12,2.8174465692129673
HA,rayfinned,3,2.8620751487807956
HA,rayfinned,2,2.836401167919182
HIV,rayfinned,4,2.827562620513974
NP,dosreis,17,2.8201093103895043
HIV,rayfinned,5,2.8425821525091903
NP,dosreis,16,2.813670575295305
HA,dosreis,17,2.83912899209761
HA,dosreis,16,2.841144163934701
NP,andersen,12,2.8242495428073555
NP,andersen,13,2.7961448055224176
LAC,spiralia,11,2.7871608197727307
HIV,andersen,9,2.80578914916616
LAC,spiralia,10,2.7603109570331106
HIV,andersen,8,2.8121937301791196
HIV,ruhfel,19,2.8442101201962044
HIV,ruhfel,18,2.8302763897760674
HA,salichos,9,2.840270592061245
HA,salichos,8,2.837015528549857
NP,rayfinned,11,2.7811784704864957
NP,salichos,9,2.812918243160971
NP,rayfinned,10,2.832678912500028
NP,salichos,8,2.7906272282772826
NP,opisthokonta,4,2.8109128079002295
NP,opisthokonta,5,2.839705902597854
HIV,dosreis,13,2.8444547273220127
HIV,dosreis,12,2.837207688092853
HA,opisthokonta,14,2.8417933757796274
HA,opisthokonta,15,2.826364839237841
NP,prum,8,2.7847936430059606
NP,prum,9,2.7740357328946663
LAC,spiralia,2,2.7818923622353147
LAC,spiralia,3,2.797859679958831
HIV,salichos,13,2.871395438998062
HIV,salichos,12,2.842518691160512
HIV,spiralia,18,2.839024635609915
HA,prum,13,2.8244815705970945
HIV,spiralia,19,2.860262874251291
HA,prum,12,2.80032588493853
NP,salichos,3,2.8232393335783508
NP,salichos,2,2.811100827218281
HA,ruhfel,1,2.8196176764687997
HIV,ruhfel,13,2.850506684293664
HIV,ruhfel,12,2.841689624068637
HA,salichos,3,2.85703879269464
HA,salichos,2,2.830916976126498
HIV,andersen,3,2.854155678772115
NP,dosreis,1,2.809148211187877
HIV,andersen,2,2.81916166748377
HA,opisthokonta,20,2.8463118939420897
LAC,salichos,10,2.769964695926199
NP,andersen,18,2.7725242838556228
HA,andersen,17,2.847430665857883
LAC,salichos,11,2.7948198309687315
NP,andersen,19,2.7988997485023397
HA,andersen,16,2.8230129459458833
HA,dosreis,7,2.8472919292250713
LAC,dosreis,5,2.7666879237970288
HA,dosreis,6,2.8301720209752848
LAC,dosreis,4,2.757338939710648
HIV,spiralia,12,2.8540808805538433
HA,prum,19,2.8096522984720216
HIV,spiralia,13,2.8455482184257854
HA,prum,18,2.8096516754423977
LAC,opisthokonta,6,2.80932773794334
HA,andersen,7,2.8124616766261124
LAC,opisthokonta,7,2.780210414476271
HA,andersen,6,2.813219407207212
NP,andersen,7,2.791691572759527
NP,andersen,6,2.81500999389278
HIV,salichos,19,2.860366791904298
HIV,salichos,18,2.8499365568909703
NP,prum,2,2.8392352823311997
NP,prum,3,2.8187589262073915
LAC,spiralia,8,2.733884891340157
LAC,spiralia,9,2.7816232934529457
HIV,salichos,7,2.861384601155905
HIV,salichos,6,2.8493898918571454
HIV,dosreis,19,2.843111533637392
HIV,dosreis,18,2.8450534557869993
LAC,rayfinned,7,2.7633463441463535
LAC,rayfinned,6,2.729148975825401
HA,opisthokonta,6,2.8123906493220145
HA,opisthokonta,7,2.83221214036538
LAC,ruhfel,4,2.7858229001601815
LAC,ruhfel,5,2.7491541232681693
HIV,rayfinned,3,2.8230631296154916
NP,dosreis,10,2.814071149289567
HIV,rayfinned,2,2.842779998315802
NP,dosreis,11,2.831509092407101
HA,dosreis,10,2.8397517466377504
HA,dosreis,11,2.8149108958630586
LAC,dosreis,8,2.804349053778188
LAC,dosreis,9,2.7880978279813853
HIV,spiralia,20,2.853246095251648
NP,rayfinned,16,2.814422685773217
NP,rayfinned,17,2.803894840933856
NP,andersen,15,2.8306078989702352
NP,andersen,14,2.7820878257093438
LAC,spiralia,16,2.767335476206044
LAC,spiralia,17,2.7492768874410456
NP,opisthokonta,3,2.8054057830806935
NP,opisthokonta,2,2.783105913650449
HIV,dosreis,14,2.8101507578221194
HIV,dosreis,15,2.852399350167361
LAC,ruhfel,9,2.804486785046985
LAC,ruhfel,8,2.774928469350038
HIV,salichos,14,2.8442659745240837
HIV,salichos,15,2.837391869654017
HA,prum,14,2.806975558120052
HA,prum,15,2.8286576583016063
HIV,ruhfel,20,2.83219884991407
HA,opisthokonta,13,2.819113012664029
HA,opisthokonta,12,2.8547692017523087
LAC,spiralia,5,2.7853779138854136
LAC,spiralia,4,2.733724101076583
NP,dosreis,7,2.7854003107371383
HIV,andersen,4,2.8622142500225203
NP,dosreis,6,2.7927882571741462
HIV,andersen,5,2.8495149188163005
LAC,salichos,17,2.8060893015918285
HA,andersen,10,2.825896559831845
LAC,salichos,16,2.791786541373121
HA,andersen,11,2.8091994721078404
HIV,salichos,20,2.8507770946381594
NP,salichos,4,2.7995125841497717
NP,salichos,5,2.8043777441448716
HA,ruhfel,6,2.814712846585804
HA,ruhfel,7,2.8245191978492126
HIV,ruhfel,14,2.838850843012202
HIV,ruhfel,15,2.8536897878470975
HA,salichos,4,2.8095903661255037
HA,prum,20,2.8256910532437636
HA,salichos,5,2.841968425359646
LAC,dosreis,2,2.793338071460612
HA,dosreis,1,2.820565187396984
LAC,dosreis,3,2.769214208843027
HIV,rayfinned,9,2.8609518403364342
HIV,rayfinned,8,2.8429424975313613
HIV,dosreis,20,2.8255459112401247
NP,prum,5,2.7952581283879483
NP,andersen,20,2.7964273260040837
NP,prum,4,2.75718140410663
HA,opisthokonta,19,2.8192890956225343
HIV,salichos,1,2.8388417164477886
HA,opisthokonta,18,2.8152749015745995
HIV,spiralia,15,2.8497554393675575
HIV,spiralia,14,2.806701206481226
LAC,opisthokonta,1,2.8065353759141143
HA,andersen,1,2.8198198330927893
NP,andersen,1,2.8154233253785286
HA,opisthokonta,1,2.852420317475051
LAC,ruhfel,3,2.778140867336822
LAC,ruhfel,2,2.7488825630297447
NP,opisthokonta,9,2.777505811627949
NP,opisthokonta,8,2.797663397079709
LAC,rayfinned,1,2.7826458353704338
LAC,prum,9,2.7841409213696218
LAC,prum,8,2.7803827833859454
LAC,salichos,8,2.818323844374749
NP,prum,10,2.8157218916468816
HIV,opisthokonta,4,2.843936776164337
HIV,opisthokonta,5,2.8562965775618263
LAC,salichos,9,2.8041237383636433
NP,prum,11,2.7578873219496804
HIV,spiralia,7,2.832832997167292
HIV,spiralia,6,2.846529726884857
HIV,prum,14,2.8544119155615784
HIV,prum,15,2.843507135415508
HIV,rayfinned,20,2.8438798328004076
HA,rayfinned,20,2.8212953996060732
HA,prum,9,2.8038775964611338
HA,prum,8,2.812127543585126
HA,salichos,19,2.833642639763839
NP,salichos,16,2.79675909272561
HA,salichos,18,2.8356263404703976
NP,salichos,17,2.8097055819471164
HA,spiralia,12,2.8111520095703666
HA,spiralia,13,2.8332807174647856
LAC,dosreis,16,2.748864892996722
LAC,dosreis,17,2.7403721266542616
NP,ruhfel,11,2.7965237958584983
NP,ruhfel,10,2.7844809973730795
NP,spiralia,3,2.80047971053514
NP,spiralia,2,2.79145255668579
NP,rayfinned,1,2.810683623144316
HIV,dosreis,2,2.8417040688978314
HIV,dosreis,3,2.857952943406832
HA,spiralia,3,2.8321416526538528
HA,spiralia,2,2.8327510038515324
LAC,ruhfel,14,2.785255578002339
LAC,andersen,20,2.76033661097181
HA,ruhfel,16,2.834341257399475
LAC,ruhfel,15,2.787492109170152
HA,ruhfel,17,2.8623473025072164
NP,opisthokonta,10,2.8365785321605976
HIV,opisthokonta,10,2.861266779271012
HIV,andersen,17,2.8289625358163693
NP,opisthokonta,11,2.804445911854571
HIV,opisthokonta,11,2.8295380298935506
NP,ruhfel,1,2.8139455995877793
HIV,andersen,16,2.866242568693798
HA,spiralia,18,2.822654970337879
NP,spiralia,17,2.8361677588064995
HA,spiralia,19,2.8227318411065654
NP,spiralia,16,2.8053772191735256
HA,prum,3,2.815329254265808
HA,prum,2,2.8164743403477317
HA,salichos,13,2.8493568119048325
LAC,ruhfel,20,2.793470035285406
LAC,andersen,14,2.8114574831377794
HA,salichos,12,2.8487520136252122
LAC,andersen,15,2.771220428376991
LAC,rayfinned,11,2.7285214555415784
LAC,rayfinned,10,2.757518576380968
HIV,ruhfel,4,2.8615650040281895
HIV,ruhfel,5,2.8238600542822003
HIV,prum,6,2.835075603036852
LAC,prum,3,2.8116967506235038
HIV,prum,7,2.8253384198814993
LAC,prum,2,2.7649614025100138
LAC,salichos,2,2.7863974151207542
LAC,salichos,3,2.8118016221169078
LAC,opisthokonta,10,2.790358529230052
LAC,opisthokonta,11,2.814516937224534
HA,rayfinned,14,2.790021042650785
HA,rayfinned,15,2.8235951084567508
LAC,prum,10,2.7920109035141336
LAC,prum,11,2.8005792044029074
HA,spiralia,9,2.8233683476260896
HA,spiralia,8,2.8278742497907206
HIV,rayfinned,14,2.86121464523571
NP,spiralia,9,2.8021320656371422
HIV,rayfinned,15,2.835549406404855
NP,spiralia,8,2.8153926807457275
HIV,prum,20,2.873000261022193
HIV,dosreis,8,2.8500701596685345
HA,rayfinned,4,2.850887425746257
HIV,dosreis,9,2.851698949027086
HA,rayfinned,5,2.823294822737037
LAC,andersen,6,2.801229094987054
LAC,andersen,7,2.7509338063003113
