name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,spiralia,1,m4,-24601.0834,204,49610.1668,51077.5353,50338.1091,28,22.331199738900015
LAC,spiralia,1,poisson,-26314.8178,203,53035.6356,54463.6356,53760.0095,58,18.371582758099997
LAC,spiralia,1,GTR20,-23935.9270,411,48693.8539,387357.8539,50160.4435,42,19.115140292800003
LAC,dosreis,2,poisson,-23375.8958,541,47833.7916,634277.7916,49764.2660,92,12.42058264089998
LAC,dosreis,2,GTR20,-21305.6583,749,44109.3165,1167609.3165,46782.0066,80,12.551311713899953
LAC,dosreis,2,m5,-24851.7343,541,50785.4686,637229.4686,52715.9429,92,16.940144674199978
LAC,dosreis,2,m4,-21922.3666,560,44964.7332,673284.7332,46963.0061,78,12.848244144999978
LAC,dosreis,2,m1,-19997.3618,543,41080.7237,631864.7237,43018.3348,82,15.435476052199965
LAC,dosreis,2,m2,-20397.6078,561,41917.2155,672481.2155,43919.0568,78,18.000720505500016
LAC,dosreis,2,m3,-21393.2367,543,43872.4734,634656.4734,45810.0845,90,23.269484342200077
LAC,andersen,2,m1,-8561.6683,351,17825.3366,264929.3366,19077.8255,140,6.343463496200002
LAC,andersen,2,m2,-8692.9608,370,18125.9215,292665.9215,19446.2090,150,6.7125656049000035
LAC,andersen,2,m3,-9074.2098,349,18846.4195,263146.4195,20091.7718,142,5.303431374400005
LAC,andersen,2,m5,-10252.6611,349,21203.3222,265503.3222,22448.6745,140,7.2567303715000095
LAC,andersen,2,m4,-9233.9673,369,19205.9345,292265.9345,20522.6536,144,7.717279377500001
LAC,andersen,2,poisson,-9776.4752,349,20250.9505,264550.9505,21496.3027,141,5.097645869499992
LAC,andersen,2,GTR20,-8841.2975,557,18796.5951,640408.5951,20784.1630,147,5.194195982199991
LAC,opisthokonta,2,GTR20,-19464.7950,345,39619.5900,278359.5900,40850.6689,10,15.940816147400005
LAC,opisthokonta,2,m5,-22746.0183,137,45766.0366,46070.9720,46254.8998,8,24.481010444100004
LAC,opisthokonta,2,m4,-20055.4160,137,40384.8321,40689.7675,40873.6953,8,16.3220224823
LAC,opisthokonta,2,m1,-18081.0521,139,36440.1043,36759.1207,36936.1042,10,23.11722635359999
LAC,opisthokonta,2,m2,-18347.0242,157,37008.0483,37485.0868,37568.2784,10,24.959977432600002
LAC,opisthokonta,2,m3,-19396.4354,138,39068.8709,39380.7733,39561.3024,8,39.2992719889
LAC,opisthokonta,2,poisson,-21364.8037,137,43003.6073,43308.5428,43492.4705,14,15.319095416499998
LAC,prum,2,poisson,-10243.7053,397,21281.4107,337293.4107,22698.0435,155,4.690865657199998
LAC,prum,2,GTR20,-9296.4706,605,19802.9413,753062.9413,21961.7897,162,4.715772976700004
LAC,prum,2,m5,-10874.5111,397,22543.0222,338555.0222,23959.6550,162,5.902918911300005
LAC,prum,2,m4,-9915.5463,399,20629.0926,339829.0926,22052.8620,166,11.351787942999968
LAC,prum,2,m2,-9152.5664,418,19141.1327,369425.1327,20632.7007,160,6.000741323300007
LAC,prum,2,m3,-9563.2874,398,19922.5748,337526.5748,21342.7759,166,7.207657149400009
LAC,prum,2,m1,-8966.1316,399,18730.2632,337930.2632,20154.0327,164,5.436565425900003
LAC,ruhfel,2,m5,-32518.2857,677,66390.5715,984402.5715,68806.3407,238,28.23217385170002
LAC,ruhfel,2,m4,-29104.1388,678,59564.2777,980288.2777,61983.6153,222,22.150548857700034
LAC,ruhfel,2,m2,-26757.7717,697,54909.5434,1027921.5434,57396.6795,218,37.193151043999876
LAC,ruhfel,2,m3,-28161.1448,678,57678.2896,978402.2896,60097.6272,228,20.417081758000023
LAC,ruhfel,2,poisson,-31143.4939,677,63640.9878,981652.9878,66056.7570,236,19.08556737479999
LAC,ruhfel,2,m1,-26194.6076,679,53747.2152,977187.2152,56170.1211,224,32.004802628300034
LAC,ruhfel,2,GTR20,-28307.1374,885,58384.2749,1626604.2749,61542.2598,216,19.65081131030004
LAC,salichos,2,m4,-7501.9048,62,15127.8095,15167.0658,15349.0469,4,6.234523308400002
LAC,salichos,2,m5,-8492.4591,43,17070.9183,17088.2761,17224.3571,4,9.765451921400002
LAC,salichos,2,m1,-6969.6144,45,14029.2288,14048.3955,14189.8043,4,8.889508353899998
LAC,salichos,2,m3,-7328.0155,44,14744.0310,14762.2799,14901.0382,4,6.805633106100001
LAC,salichos,2,m2,-7081.3046,64,14290.6092,14332.8427,14518.9832,4,10.1586855298
LAC,salichos,2,poisson,-7901.0895,43,15888.1790,15905.5368,16041.6178,4,5.629883806200001
LAC,salichos,2,GTR20,-7277.1090,251,15056.2179,27706.6179,15951.8724,4,5.873906726900002
LAC,rayfinned,2,m3,-37050.3554,625,75350.7108,857850.7108,77580.9261,82,25.62743176790001
LAC,rayfinned,2,m2,-34994.7943,625,71239.5885,853739.5885,73469.8038,88,34.619259711000055
LAC,rayfinned,2,m1,-34315.6348,607,69845.2696,807957.2696,72011.2547,82,32.6003152058
LAC,rayfinned,2,m4,-37973.6432,624,77195.2864,857195.2864,79421.9334,92,25.756532669300015
LAC,rayfinned,2,m5,-42947.2214,605,87104.4429,820364.4429,89263.2913,94,33.19634569270002
LAC,rayfinned,2,GTR20,-37018.0934,813,75662.1867,1399226.1867,78563.2508,90,24.9115227938
LAC,rayfinned,2,poisson,-40698.6244,605,82607.2488,815867.2488,84766.0972,96,24.444484142899974
LAC,spiralia,2,poisson,-26129.2194,203,52664.4389,54092.4389,53388.8128,16,18.112465559900006
LAC,spiralia,2,m4,-24686.7437,204,49781.4873,51248.8558,50509.4296,18,23.01886852029999
LAC,spiralia,2,m5,-27848.3140,203,56102.6281,57530.6281,56827.0020,26,28.3280599177
