name,tree,repl,model,modelq
NP,rtree100_bl0.3_rep1,19,mtART,5
NP,rtree100_bl0.3_rep1,20,JTT+G4,1
NP,rtree100_bl0.3_rep1,20,Dayhoff+F+G4,2
NP,rtree100_bl0.3_rep1,20,PMB,3
NP,rtree100_bl0.3_rep1,20,mtMet+G4,4
NP,rtree100_bl0.3_rep1,20,mtART,5
NP,rtree100_bl1.5_rep1,1,VT+F+G4,1
NP,rtree100_bl1.5_rep1,1,WAG+F,2
NP,rtree100_bl1.5_rep1,1,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,1,HIVb,4
NP,rtree100_bl1.5_rep1,1,mtART,5
NP,rtree100_bl1.5_rep1,2,VT+F+G4,1
NP,rtree100_bl1.5_rep1,2,WAG+F,2
NP,rtree100_bl1.5_rep1,2,rtREV+F,3
NP,rtree100_bl1.5_rep1,2,rtREV,4
NP,rtree100_bl1.5_rep1,2,mtART,5
NP,rtree100_bl1.5_rep1,3,VT+F+G4,1
NP,rtree100_bl1.5_rep1,3,WAG+F,2
NP,rtree100_bl1.5_rep1,3,WAG,3
NP,rtree100_bl1.5_rep1,3,rtREV,4
NP,rtree100_bl1.5_rep1,3,mtART,5
NP,rtree100_bl1.5_rep1,4,VT+F+G4,1
NP,rtree100_bl1.5_rep1,4,WAG+F,2
NP,rtree100_bl1.5_rep1,4,mtZOA+F+G4,3
NP,rtree100_bl1.5_rep1,4,rtREV,4
NP,rtree100_bl1.5_rep1,4,mtART,5
NP,rtree100_bl1.5_rep1,5,VT+F+G4,1
NP,rtree100_bl1.5_rep1,5,WAG+F,2
NP,rtree100_bl1.5_rep1,5,rtREV+F,3
NP,rtree100_bl1.5_rep1,5,rtREV,4
NP,rtree100_bl1.5_rep1,5,mtART,5
NP,rtree100_bl1.5_rep1,6,VT+F+G4,1
NP,rtree100_bl1.5_rep1,6,WAG+G4,2
NP,rtree100_bl1.5_rep1,6,rtREV+F,3
NP,rtree100_bl1.5_rep1,6,rtREV,4
NP,rtree100_bl1.5_rep1,6,mtART,5
NP,rtree100_bl1.5_rep1,7,VT+F+G4,1
NP,rtree100_bl1.5_rep1,7,WAG+F,2
NP,rtree100_bl1.5_rep1,7,rtREV+F,3
NP,rtree100_bl1.5_rep1,7,rtREV,4
NP,rtree100_bl1.5_rep1,7,mtART,5
NP,rtree100_bl1.5_rep1,8,VT+F+G4,1
NP,rtree100_bl1.5_rep1,8,mtMet+F+G4,2
NP,rtree100_bl1.5_rep1,8,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,8,HIVb,4
NP,rtree100_bl1.5_rep1,8,mtART,5
NP,rtree100_bl1.5_rep1,9,VT+F+G4,1
NP,rtree100_bl1.5_rep1,9,WAG+F,2
NP,rtree100_bl1.5_rep1,9,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,9,HIVb,4
NP,rtree100_bl1.5_rep1,9,mtART,5
NP,rtree100_bl1.5_rep1,10,VT+F+G4,1
NP,rtree100_bl1.5_rep1,10,WAG+F,2
NP,rtree100_bl1.5_rep1,10,Dayhoff+F,3
NP,rtree100_bl1.5_rep1,10,rtREV,4
NP,rtree100_bl1.5_rep1,10,mtART,5
NP,rtree100_bl1.5_rep1,11,VT+F+G4,1
NP,rtree100_bl1.5_rep1,11,Blosum62+F,2
NP,rtree100_bl1.5_rep1,11,WAG,3
NP,rtree100_bl1.5_rep1,11,HIVb,4
