type,name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
rtree,NP,3,1,q1,optimizedtruetree,-118059.2441,217,236552.4882,236890.3882,237466.1884,0,114.1183776345001
rtree,NP,3,1,q1,inferredtree,-117788.4532,217,236010.9064,236348.8064,236924.6066,100,112.44192491059995
rtree,NP,3,1,pogofit,optimizedtruetree,-116629.8544,198,233655.7088,233919.2673,234489.4076,0,106.16097352940001
rtree,NP,0.3,2,q2,optimizedtruetree,-65930.6384,217,132295.2768,132633.1768,133208.9770,0,29.973552298900014
rtree,NP,0.3,2,poisson,inferredtree,-69510.3781,197,139414.7562,139674.7962,140244.2444,0,26.268817285500003
rtree,NP,0.3,2,hbstyle,inferredtree,-61271.4077,217,122976.8154,123314.7154,123890.5156,0,25.498805423100013
rtree,NP,0.3,2,q3,optimizedtruetree,-66830.8863,197,134055.7727,134315.8127,134885.2609,0,26.677045101600015
rtree,NP,0.3,2,poisson,optimizedtruetree,-69510.3781,197,139414.7563,139674.7963,140244.2445,0,26.26785688050001
rtree,NP,0.3,2,q5,optimizedtruetree,-75741.9743,197,151877.9486,152137.9886,152707.4369,0,39.94882683510001
rtree,NP,0.3,2,pogofit,inferredtree,-60790.4555,198,121976.9110,122240.4696,122810.6099,0,25.942830322900004
rtree,NP,0.3,2,q1,optimizedtruetree,-64074.5176,198,128545.0352,128808.5937,129378.7340,0,25.1252023889
rtree,NP,0.3,2,pogofit,optimizedtruetree,-60790.4561,198,121976.9122,122240.4708,122810.6110,0,25.956193899900004
rtree,NP,0.3,2,q1,inferredtree,-64074.5171,198,128545.0342,128808.5927,129378.7330,0,25.112907290500004
rtree,NP,0.3,2,q3,inferredtree,-66830.8863,197,134055.7726,134315.8126,134885.2608,0,26.678021548900013
rtree,NP,0.3,2,q2,inferredtree,-65930.6375,217,132295.2751,132633.1751,133208.9753,0,29.94864132410001
rtree,NP,0.3,2,q4,inferredtree,-68411.1514,198,137218.3027,137481.8612,138052.0015,0,35.66775810330001
rtree,NP,0.3,2,q5,inferredtree,-75741.9742,197,151877.9485,152137.9885,152707.4367,0,39.94656496739998
rtree,NP,0.3,2,hbstyle,optimizedtruetree,-61271.4083,217,122976.8165,123314.7165,123890.5167,0,25.508170794799994
rtree,NP,0.3,2,q4,optimizedtruetree,-68411.1516,198,137218.3031,137481.8616,138052.0019,0,35.67841591739998
rtree,NP,1.5,2,hbstyle,optimizedtruetree,-112526.0997,217,225486.1994,225824.0994,226399.8996,0,86.35726492380003
rtree,NP,1.5,2,pogofit,inferredtree,-109896.6067,198,220189.2134,220452.7720,221022.9122,30,76.827320037
rtree,NP,1.5,2,q1,optimizedtruetree,-111795.3440,217,224024.6880,224362.5880,224938.3882,0,83.44665444349995
rtree,NP,1.5,2,q5,optimizedtruetree,-125144.6149,197,250683.2298,250943.2698,251512.7180,0,178.31832579489986
rtree,NP,1.5,2,pogofit,optimizedtruetree,-109972.6374,198,220341.2747,220604.8332,221174.9735,0,77.37178731939998
rtree,NP,1.5,2,q4,optimizedtruetree,-117528.3720,197,235450.7439,235710.7839,236280.2321,0,81.72885487539999
rtree,NP,1.5,2,q1,inferredtree,-111703.9830,217,223841.9660,224179.8660,224755.6662,36,82.44395456960002
rtree,NP,1.5,2,q3,inferredtree,-115197.7061,216,230827.4122,231161.0207,231736.9018,28,89.45979812869997
rtree,NP,1.5,2,q2,inferredtree,-113397.0725,217,227228.1450,227566.0450,228141.8452,32,112.7967041332
rtree,NP,1.5,2,q4,inferredtree,-117419.7268,197,235233.4536,235493.4936,236062.9418,36,81.1890081537
rtree,NP,1.5,2,q2,optimizedtruetree,-113479.0182,217,227392.0364,227729.9364,228305.7367,0,114.439821977
rtree,NP,1.5,2,q5,inferredtree,-125041.7962,197,250477.5925,250737.6325,251307.0807,44,177.65937699390005
rtree,NP,1.5,2,poisson,optimizedtruetree,-117643.0395,197,235680.0790,235940.1190,236509.5673,0,68.92662347279997
rtree,NP,1.5,2,poisson,inferredtree,-117517.4748,197,235428.9495,235688.9895,236258.4378,40,68.4277556904
rtree,NP,1.5,2,hbstyle,inferredtree,-112448.3718,217,225330.7436,225668.6436,226244.4438,30,86.15876763349998
rtree,NP,1.5,2,q3,optimizedtruetree,-115273.0611,216,230978.1221,231311.7307,231887.6118,0,89.85818104689997
rtree,NP,3,2,pogofit,inferredtree,-116959.5611,198,234315.1222,234578.6807,235148.8210,92,106.07297338709994
rtree,NP,3,2,q1,optimizedtruetree,-118540.8298,217,237515.6596,237853.5596,238429.3598,0,112.76163264790004
rtree,NP,3,2,q5,optimizedtruetree,-131290.3378,197,262974.6755,263234.7155,263804.1638,0,118.85839800830001
rtree,NP,3,2,poisson,optimizedtruetree,-124349.9098,197,249093.8197,249353.8597,249923.3079,0,84.2340365697
rtree,NP,3,2,q1,inferredtree,-118343.8365,217,237121.6730,237459.5730,238035.3732,100,113.41190746220006
rtree,NP,3,2,q4,optimizedtruetree,-124756.8917,198,249909.7833,250173.3419,250743.4821,0,245.7096100109999
rtree,NP,3,2,q2,inferredtree,-120497.7304,198,241391.4608,241655.0193,242225.1596,96,119.48075455040006
rtree,NP,3,2,q3,inferredtree,-122012.6405,198,244421.2811,244684.8396,245254.9799,94,153.7335201203
rtree,NP,3,2,q5,inferredtree,-130939.7208,197,262273.4416,262533.4816,263102.9298,92,117.43248532610009
rtree,NP,3,2,q4,inferredtree,-124531.3512,198,249458.7025,249722.2610,250292.4013,102,230.1862827437999
rtree,NP,3,2,q2,optimizedtruetree,-120709.8564,198,241815.7127,242079.2713,242649.4116,0,122.76316547100011
rtree,NP,3,2,poisson,inferredtree,-123994.4332,197,248382.8663,248642.9063,249212.3545,110,82.91812606049996
rtree,NP,3,2,pogofit,optimizedtruetree,-117152.9849,198,234701.9697,234965.5282,235535.6685,0,107.65606608449998
rtree,NP,3,2,hbstyle,inferredtree,-120871.8174,217,242177.6349,242515.5349,243091.3351,88,119.16350230860007
rtree,NP,3,2,q3,optimizedtruetree,-122194.3553,198,244784.7106,245048.2691,245618.4094,0,159.33794907379993
rtree,NP,3,2,hbstyle,optimizedtruetree,-121042.4534,217,242518.9069,242856.8069,243432.6071,0,122.16115447559999
rtree,NP,0.3,3,hbstyle,inferredtree,-62039.1192,217,124512.2383,124850.1383,125425.9386,0,25.158141109100015
rtree,NP,0.3,3,q3,optimizedtruetree,-67791.5740,217,136017.1481,136355.0481,136930.8483,0,27.747099636699986
rtree,NP,0.3,3,q5,inferredtree,-76859.7033,197,154113.4065,154373.4465,154942.8947,0,40.87883113220001
rtree,NP,0.3,3,q4,inferredtree,-69496.4941,198,139388.9882,139652.5467,140222.6870,0,35.880398008
rtree,NP,0.3,3,q2,inferredtree,-66987.6427,198,134371.2855,134634.8440,135204.9843,0,27.0659907403
rtree,NP,0.3,3,q3,inferredtree,-67791.5740,217,136017.1481,136355.0481,136930.8483,0,27.747008086300003
rtree,NP,0.3,3,q1,inferredtree,-65149.5158,199,130697.0316,130964.1457,131534.9410,0,25.62077780179999
rtree,NP,0.3,3,pogofit,optimizedtruetree,-61519.3922,198,123434.7843,123698.3429,124268.4832,0,25.42896366369998
rtree,NP,0.3,3,q2,optimizedtruetree,-66987.6427,198,134371.2855,134634.8440,135204.9843,0,27.06607324450001
rtree,NP,0.3,3,poisson,inferredtree,-70271.4053,197,140936.8107,141196.8507,141766.2989,0,26.64245321490001
rtree,NP,0.3,3,hbstyle,optimizedtruetree,-62039.1209,217,124512.2418,124850.1418,125425.9420,0,25.1778434766
rtree,NP,0.3,3,q4,optimizedtruetree,-69496.4949,198,139388.9898,139652.5483,140222.6886,0,35.9095766062
rtree,NP,0.3,3,poisson,optimizedtruetree,-70271.4054,197,140936.8107,141196.8507,141766.2989,0,26.641582084599992
rtree,NP,0.3,3,pogofit,inferredtree,-61519.3919,198,123434.7838,123698.3423,124268.4826,0,25.4227747789
rtree,NP,0.3,3,q1,optimizedtruetree,-65149.5175,199,130697.0350,130964.1491,131534.9444,0,25.645660624000016
rtree,NP,0.3,3,q5,optimizedtruetree,-76859.7033,197,154113.4066,154373.4466,154942.8948,0,40.8804182814
rtree,NP,1.5,3,poisson,optimizedtruetree,-118387.6501,197,237169.3003,237429.3403,237998.7885,0,69.90225211420001
rtree,NP,1.5,3,q4,optimizedtruetree,-118521.2916,197,237436.5833,237696.6233,238266.0715,0,83.32106607500002
rtree,NP,1.5,3,q5,inferredtree,-126092.3110,197,252578.6220,252838.6620,253408.1102,42,183.51114131530008
rtree,NP,1.5,3,q5,optimizedtruetree,-126233.0835,197,252860.1670,253120.2070,253689.6552,0,184.82991584900003
rtree,NP,1.5,3,q4,inferredtree,-118434.3663,197,237262.7326,237522.7726,238092.2208,24,82.79413193810004
rtree,NP,1.5,3,pogofit,inferredtree,-110869.7806,198,222135.5612,222399.1198,222969.2600,20,78.03366382520001
rtree,NP,1.5,3,q1,optimizedtruetree,-112892.2865,217,226218.5730,226556.4730,227132.2732,0,80.08627590659998
rtree,NP,1.5,3,q2,inferredtree,-114701.3148,216,229834.6295,230168.2381,230744.1192,28,83.61589392269998
rtree,NP,1.5,3,q3,inferredtree,-116202.2393,197,232798.4786,233058.5186,233627.9668,30,80.17629703000004
rtree,NP,1.5,3,q1,inferredtree,-112822.4596,217,226078.9192,226416.8192,226992.6194,28,79.59804050859996
rtree,NP,1.5,3,hbstyle,inferredtree,-113345.8199,217,227125.6399,227463.5399,228039.3401,22,85.58551519880002
rtree,NP,1.5,3,q3,optimizedtruetree,-116289.5535,197,232973.1071,233233.1471,233802.5953,0,80.67042431069999
rtree,NP,1.5,3,hbstyle,optimizedtruetree,-113411.4362,217,227256.8724,227594.7724,228170.5726,0,85.9462173525
rtree,NP,1.5,3,pogofit,optimizedtruetree,-110931.8397,198,222259.6795,222523.2380,223093.3783,0,78.40223129590001
rtree,NP,1.5,3,q2,optimizedtruetree,-114789.9076,216,230011.8152,230345.4237,230921.3048,0,84.13864448480001
rtree,NP,1.5,3,poisson,inferredtree,-118260.2257,197,236914.4514,237174.4914,237743.9396,36,69.31833062870004
rtree,NP,3,3,q4,optimizedtruetree,-124131.4023,197,248656.8046,248916.8446,249486.2928,0,105.59042128069999
rtree,NP,3,3,pogofit,optimizedtruetree,-116752.3506,198,233900.7012,234164.2598,234734.4000,0,109.89242961289999
rtree,NP,3,3,hbstyle,optimizedtruetree,-120399.6333,217,241233.2667,241571.1667,242146.9669,0,124.03123695670011
rtree,NP,3,3,q5,optimizedtruetree,-130608.3106,197,261610.6212,261870.6612,262440.1094,0,294.52106725309994
rtree,NP,3,3,pogofit,inferredtree,-116576.1873,198,233548.3746,233811.9331,234382.0734,100,108.67210040280003
rtree,NP,3,3,q1,optimizedtruetree,-118100.6104,217,236635.2208,236973.1208,237548.9210,0,117.29192963920003
rtree,NP,3,3,q4,inferredtree,-123854.3964,197,248102.7928,248362.8328,248932.2810,112,104.22723843880001
rtree,NP,3,3,q5,inferredtree,-130219.9692,197,260833.9385,261093.9785,261663.4267,138,292.55959858039995
rtree,NP,3,3,q3,inferredtree,-121601.2314,198,243598.4628,243862.0213,244432.1616,110,142.31932747309995
rtree,NP,3,3,hbstyle,inferredtree,-120225.6019,217,240885.2038,241223.1038,241798.9040,100,124.19842684940002
rtree,NP,3,3,q3,optimizedtruetree,-121804.4447,198,244004.8894,244268.4479,244838.5882,0,143.86010875160005
rtree,NP,3,3,q2,inferredtree,-120050.7703,198,240497.5406,240761.0992,241331.2394,98,120.14857496050001
rtree,NP,3,3,q1,inferredtree,-117912.7969,217,236259.5938,236597.4938,237173.2941,110,115.76470652479998
rtree,NP,3,3,q2,optimizedtruetree,-120254.4315,198,240904.8629,241168.4214,241738.5617,0,123.98342327899996
rtree,NP,3,3,poisson,optimizedtruetree,-124315.3328,197,249024.6657,249284.7057,249854.1539,0,84.01524767080001
rtree,NP,3,3,poisson,inferredtree,-123937.3855,197,248268.7710,248528.8110,249098.2592,122,82.64892151719997
rtree,NP,0.3,4,q1,inferredtree,-64563.6199,218,129563.2398,129905.4764,130481.1506,0,27.45953399079999
rtree,NP,0.3,4,q3,inferredtree,-67384.2686,217,135202.5372,135540.4372,136116.2374,0,29.06448066580001
rtree,NP,0.3,4,poisson,optimizedtruetree,-70127.3773,197,140648.7546,140908.7946,141478.2428,0,26.557710095899985
rtree,NP,0.3,4,q2,inferredtree,-66491.8478,217,133417.6957,133755.5957,134331.3959,0,31.218556001699987
rtree,NP,0.3,4,q2,optimizedtruetree,-66491.8485,217,133417.6971,133755.5971,134331.3973,0,31.241393505900014
rtree,NP,0.3,4,q4,inferredtree,-68661.8673,216,137755.7346,138089.3432,138665.2242,0,29.282202512200005
rtree,NP,0.3,4,q5,inferredtree,-76234.0367,198,152864.0733,153127.6318,153697.7721,0,41.44384792099999
rtree,NP,0.3,4,poisson,inferredtree,-70127.3773,197,140648.7545,140908.7945,141478.2427,0,26.558779564199977
rtree,NP,0.3,4,hbstyle,inferredtree,-61908.6428,217,124251.2857,124589.1857,125164.9859,0,26.142372181700015
rtree,NP,0.3,4,q3,optimizedtruetree,-67384.2686,217,135202.5372,135540.4372,136116.2374,0,29.0645689778
rtree,NP,0.3,4,pogofit,optimizedtruetree,-61469.4026,198,123334.8052,123598.3637,124168.5040,0,26.283839078299987
rtree,NP,0.3,4,pogofit,inferredtree,-61469.4025,198,123334.8050,123598.3635,124168.5038,0,26.278331515600005
rtree,NP,0.3,4,q1,optimizedtruetree,-64563.6203,218,129563.2405,129905.4771,130481.1513,0,27.470618025599986
rtree,NP,0.3,4,q5,optimizedtruetree,-76234.0367,198,152864.0733,153127.6318,153697.7721,0,41.44385143239998
rtree,NP,0.3,4,hbstyle,optimizedtruetree,-61908.6435,217,124251.2869,124589.1869,125164.9871,0,26.156834313200022
rtree,NP,0.3,4,q4,optimizedtruetree,-68661.8673,216,137755.7347,138089.3432,138665.2243,0,29.281405109599984
rtree,NP,1.5,4,q5,optimizedtruetree,-125015.5382,197,250425.0763,250685.1163,251254.5646,0,183.27802501870002
rtree,NP,1.5,4,pogofit,inferredtree,-110128.5813,198,220653.1625,220916.7210,221486.8613,20,73.6022021702
rtree,NP,1.5,4,q1,optimizedtruetree,-111933.0412,217,224300.0824,224637.9824,225213.7826,0,80.9411511272
rtree,NP,1.5,4,q1,inferredtree,-111882.6098,217,224199.2195,224537.1195,225112.9197,24,79.95106125010001
rtree,NP,1.5,4,hbstyle,optimizedtruetree,-112792.5093,217,226019.0185,226356.9185,226932.7187,0,85.15557812040004
rtree,NP,1.5,4,q3,inferredtree,-115199.5089,217,230833.0177,231170.9177,231746.7179,36,159.10431478470002
rtree,NP,1.5,4,q2,inferredtree,-113767.6482,216,227967.2964,228300.9050,228876.7861,30,83.00865101549996
rtree,NP,1.5,4,q4,inferredtree,-117397.2261,197,235188.4521,235448.4921,236017.9403,26,82.15494746649995
rtree,NP,1.5,4,q5,inferredtree,-124940.2280,197,250274.4561,250534.4961,251103.9443,36,182.08859132960012
rtree,NP,1.5,4,pogofit,optimizedtruetree,-110172.3312,198,220740.6624,221004.2209,221574.3612,0,74.0958389954
rtree,NP,1.5,4,q4,optimizedtruetree,-117468.8132,197,235331.6265,235591.6665,236161.1147,0,82.49078570160002
rtree,NP,1.5,4,q2,optimizedtruetree,-113832.6839,216,228097.3678,228430.9764,229006.8574,0,83.2636452045
rtree,NP,1.5,4,poisson,inferredtree,-117751.6262,197,235897.2525,236157.2925,236726.7407,30,68.85692068660003
rtree,NP,1.5,4,hbstyle,inferredtree,-112746.9475,217,225927.8950,226265.7950,226841.5953,22,84.8321965748
rtree,NP,1.5,4,q3,optimizedtruetree,-115263.6185,217,230961.2369,231299.1369,231874.9371,0,161.25699989360015
rtree,NP,1.5,4,poisson,optimizedtruetree,-117855.1572,197,236104.3143,236364.3543,236933.8025,0,69.15206274850003
rtree,NP,3,4,poisson,optimizedtruetree,-123653.6257,197,247701.2514,247961.2914,248530.7396,0,82.95271687469999
