type,name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
rtree,NP,1.5,13,q1,inferredtree,-112195.6255,217,224825.2511,225163.1511,225738.9513,30,86.74025259589999
rtree,NP,1.5,13,q2,inferredtree,-114117.6979,216,228667.3959,229001.0044,229576.8855,30,80.54991228960002
rtree,NP,1.5,13,q3,optimizedtruetree,-115562.2161,216,231556.4321,231890.0407,232465.9217,0,90.14734849799999
rtree,NP,1.5,13,hbstyle,inferredtree,-112948.7873,217,226331.5745,226669.4745,227245.2747,28,82.89621105519997
rtree,NP,1.5,13,q3,inferredtree,-115505.5602,216,231443.1204,231776.7290,232352.6100,30,89.74587970139996
rtree,NP,1.5,13,q5,inferredtree,-125202.8853,197,250799.7705,251059.8105,251629.2588,38,176.53351071419996
rtree,NP,1.5,13,q4,inferredtree,-117701.5313,197,235797.0627,236057.1027,236626.5509,32,81.94887333719994
rtree,NP,1.5,13,pogofit,optimizedtruetree,-110395.1987,198,221186.3974,221449.9559,222020.0962,0,77.80529447570005
rtree,NP,1.5,13,q1,optimizedtruetree,-112243.6003,217,224921.2006,225259.1006,225834.9008,0,86.03558931899994
rtree,NP,1.5,13,pogofit,inferredtree,-110353.1520,198,221102.3039,221365.8624,221936.0027,32,77.82597167240003
rtree,NP,1.5,13,q5,optimizedtruetree,-125297.6023,197,250989.2046,251249.2446,251818.6928,0,177.7077806017001
rtree,NP,1.5,13,poisson,optimizedtruetree,-118030.7709,197,236455.5417,236715.5817,237285.0300,0,69.2969024851
rtree,NP,1.5,13,q4,optimizedtruetree,-117778.5055,197,235951.0109,236211.0509,236780.4992,0,82.30095298460004
rtree,NP,3,13,poisson,inferredtree,-124296.5719,197,248987.1437,249247.1837,249816.6319,112,83.2634371367
rtree,NP,3,13,q2,optimizedtruetree,-121023.1744,198,242442.3487,242705.9073,243276.0476,0,129.48217776700002
rtree,NP,3,13,poisson,optimizedtruetree,-124640.0024,197,249674.0048,249934.0448,250503.4930,0,84.54192013669997
rtree,NP,3,13,q3,optimizedtruetree,-122548.1471,216,245528.2943,245861.9028,246437.7839,0,121.98855546030005
rtree,NP,3,13,hbstyle,inferredtree,-120830.6624,217,242095.3249,242433.2249,243009.0251,86,119.0408569731
rtree,NP,3,13,q5,inferredtree,-131179.2418,197,262752.4836,263012.5236,263581.9718,100,118.61359483190016
rtree,NP,3,13,q4,inferredtree,-124538.4877,197,249470.9753,249731.0153,250300.4635,94,105.6713203294
rtree,NP,3,13,q1,optimizedtruetree,-118679.1644,217,237792.3287,238130.2287,238706.0289,0,116.3111752982
rtree,NP,3,13,pogofit,inferredtree,-117148.4217,198,234692.8435,234956.4020,235526.5423,86,102.24426388360001
rtree,NP,3,13,q1,inferredtree,-118455.2563,217,237344.5127,237682.4127,238258.2129,94,114.66555754679995
rtree,NP,3,13,q5,optimizedtruetree,-131542.2635,197,263478.5271,263738.5671,264308.0153,0,120.68006915559998
rtree,NP,3,13,q2,inferredtree,-120774.5571,198,241945.1142,242208.6727,242778.8130,90,128.6328787556
rtree,NP,3,13,q3,inferredtree,-122223.1344,216,244878.2687,245211.8773,245787.7584,92,119.9687786465
rtree,NP,3,13,q4,optimizedtruetree,-124893.3833,197,250180.7667,250440.8067,251010.2549,0,107.72335239039998
rtree,NP,3,13,hbstyle,optimizedtruetree,-121032.6990,217,242499.3979,242837.2979,243413.0982,0,122.23027386279996
rtree,NP,3,13,pogofit,optimizedtruetree,-117366.7768,198,235129.5537,235393.1122,235963.2525,0,105.16357754680007
rtree,NP,0.3,14,poisson,optimizedtruetree,-69099.9956,197,138593.9913,138854.0313,139423.4795,0,26.04362813159999
rtree,NP,0.3,14,q4,optimizedtruetree,-67937.2143,216,136306.4286,136640.0371,137215.9182,0,28.805113661200014
rtree,NP,0.3,14,pogofit,inferredtree,-60598.4284,198,121592.8567,121856.4153,122426.5555,0,25.6972139665
rtree,NP,0.3,14,q1,optimizedtruetree,-63934.0676,217,128302.1352,128640.0352,129215.8354,0,27.0336211494
rtree,NP,0.3,14,q5,optimizedtruetree,-75507.1471,197,151408.2942,151668.3342,152237.7825,0,40.38967305229998
rtree,NP,0.3,14,q5,inferredtree,-75507.1471,197,151408.2942,151668.3342,152237.7824,0,40.38824322000003
rtree,NP,0.3,14,q4,inferredtree,-67937.2143,216,136306.4285,136640.0371,137215.9182,0,28.805753924000015
rtree,NP,0.3,14,pogofit,optimizedtruetree,-60598.4286,198,121592.8572,121856.4157,122426.5560,0,25.706502912300003
rtree,NP,0.3,14,hbstyle,inferredtree,-61054.4024,217,122542.8049,122880.7049,123456.5051,0,25.5912806113
rtree,NP,0.3,14,q3,optimizedtruetree,-66548.0806,216,133528.1613,133861.7698,134437.6509,0,28.385300797599992
rtree,NP,0.3,14,hbstyle,optimizedtruetree,-61054.4041,217,122542.8081,122880.7081,123456.5084,0,25.616274035900027
rtree,NP,0.3,14,q1,inferredtree,-63934.0672,217,128302.1345,128640.0345,129215.8347,0,27.020450072600013
rtree,NP,0.3,14,q2,inferredtree,-65720.6056,217,131875.2112,132213.1112,132788.9114,0,29.605564873499976
rtree,NP,0.3,14,q3,inferredtree,-66548.0806,216,133528.1612,133861.7698,134437.6509,0,28.385919417699995
rtree,NP,0.3,14,poisson,inferredtree,-69099.9956,197,138593.9912,138854.0312,139423.4794,0,26.044519057400016
rtree,NP,0.3,14,q2,optimizedtruetree,-65720.6067,217,131875.2134,132213.1134,132788.9136,0,29.632374975299996
rtree,NP,1.5,14,q3,optimizedtruetree,-115783.8265,198,231963.6529,232227.2115,232797.3518,0,97.57126654429996
rtree,NP,1.5,14,hbstyle,inferredtree,-113140.5423,217,226715.0846,227052.9846,227628.7848,24,85.4375083033
rtree,NP,1.5,14,poisson,optimizedtruetree,-117935.7846,197,236265.5692,236525.6092,237095.0574,0,69.15809987819999
rtree,NP,1.5,14,q4,inferredtree,-117897.9298,198,236191.8595,236455.4180,237025.5583,34,123.20377913919992
rtree,NP,1.5,14,q5,inferredtree,-125063.5782,197,250521.1564,250781.1964,251350.6446,30,180.22327835529993
rtree,NP,1.5,14,poisson,inferredtree,-117872.3250,197,236138.6500,236398.6900,236968.1382,32,68.8494448641
rtree,NP,1.5,14,q3,inferredtree,-115707.1054,198,231810.2108,232073.7693,232643.9096,34,97.20733716080002
rtree,NP,1.5,14,q2,inferredtree,-114265.5189,198,228927.0378,229190.5964,229760.7366,30,88.47322750859995
rtree,NP,1.5,14,q1,inferredtree,-112331.2617,217,225096.5234,225434.4234,226010.2236,24,82.10851765160001
rtree,NP,1.5,14,q2,optimizedtruetree,-114335.5284,198,229067.0568,229330.6154,229900.7556,0,88.18149417220003
rtree,NP,1.5,14,hbstyle,optimizedtruetree,-113183.8833,217,226801.7666,227139.6666,227715.4668,0,85.74870096589999
rtree,NP,1.5,14,q4,optimizedtruetree,-117979.9997,198,236355.9994,236619.5580,237189.6983,0,122.31626743620004
rtree,NP,1.5,14,pogofit,optimizedtruetree,-110457.3364,198,221310.6728,221574.2313,222144.3716,0,78.06803341649997
rtree,NP,1.5,14,q1,optimizedtruetree,-112382.8516,217,225199.7033,225537.6033,226113.4035,0,83.09082211939997
rtree,NP,1.5,14,pogofit,inferredtree,-110409.7500,198,221215.4999,221479.0585,222049.1988,28,77.70943339280005
rtree,NP,1.5,14,q5,optimizedtruetree,-125153.0186,197,250700.0373,250960.0773,251529.5255,0,182.04956291300007
rtree,NP,3,14,hbstyle,optimizedtruetree,-120482.5026,217,241399.0052,241736.9052,242312.7055,0,124.20958514050004
rtree,NP,3,14,pogofit,optimizedtruetree,-116780.9779,198,233957.9558,234221.5144,234791.6546,0,109.2795154599
rtree,NP,3,14,q3,optimizedtruetree,-121942.9316,198,244281.8632,244545.4217,245115.5620,0,142.0204351433001
rtree,NP,3,14,hbstyle,inferredtree,-120336.7893,217,241107.5785,241445.4785,242021.2787,90,124.59346114659998
rtree,NP,3,14,poisson,inferredtree,-123687.7545,197,247769.5091,248029.5491,248598.9973,112,82.64225043049998
rtree,NP,3,14,q2,optimizedtruetree,-120372.1188,198,241140.2377,241403.7962,241973.9365,0,125.75427417009998
rtree,NP,3,14,q4,optimizedtruetree,-124262.1646,197,248918.3292,249178.3692,249747.8174,0,106.46142237890002
rtree,NP,3,14,q3,inferredtree,-121708.2640,198,243812.5280,244076.0865,244646.2268,100,139.6597531031
rtree,NP,3,14,q2,inferredtree,-120127.9839,198,240651.9677,240915.5262,241485.6665,92,124.10213636440005
rtree,NP,3,14,q1,inferredtree,-117932.9702,217,236299.9405,236637.8405,237213.6407,100,113.67373341720005
rtree,NP,3,14,poisson,optimizedtruetree,-124086.3456,197,248566.6911,248826.7311,249396.1793,0,84.07109789569992
rtree,NP,3,14,q4,inferredtree,-123920.0068,197,248234.0136,248494.0536,249063.5018,106,104.79551349669998
rtree,NP,3,14,q5,inferredtree,-130353.4881,197,261100.9763,261361.0163,261930.4645,94,116.15190940569994
rtree,NP,3,14,q1,optimizedtruetree,-118149.5613,217,236733.1225,237071.0225,237646.8227,0,114.39514899309997
rtree,NP,3,14,pogofit,inferredtree,-116597.7417,198,233591.4835,233855.0420,234425.1823,92,108.37825237279999
rtree,NP,3,14,q5,optimizedtruetree,-130657.8663,197,261709.7326,261969.7726,262539.2208,0,117.97603733150002
rtree,NP,0.3,15,q5,optimizedtruetree,-75002.7118,197,150399.4237,150659.4637,151228.9119,0,40.998837115099995
rtree,NP,0.3,15,pogofit,inferredtree,-60503.8712,198,121403.7425,121667.3010,122237.4413,0,25.56323614059999
rtree,NP,0.3,15,q1,optimizedtruetree,-63624.3461,217,127682.6922,128020.5922,128596.3924,0,25.982698325400005
rtree,NP,0.3,15,pogofit,optimizedtruetree,-60503.8723,198,121403.7445,121667.3030,122237.4433,0,25.581770687299997
rtree,NP,0.3,15,hbstyle,optimizedtruetree,-61004.3255,217,122442.6509,122780.5509,123356.3511,0,25.25705531340001
rtree,NP,0.3,15,q3,inferredtree,-66252.9430,216,132937.8859,133271.4945,133847.3755,0,28.182211415
rtree,NP,0.3,15,q2,inferredtree,-65340.4032,217,131114.8064,131452.7064,132028.5066,0,31.4569256052
rtree,NP,0.3,15,q1,inferredtree,-63624.3458,217,127682.6916,128020.5916,128596.3918,0,25.971691065300007
rtree,NP,0.3,15,q4,optimizedtruetree,-67762.6266,198,135921.2532,136184.8117,136754.9520,0,37.0617142037
rtree,NP,0.3,15,q4,inferredtree,-67762.6250,198,135921.2499,136184.8084,136754.9487,0,37.0179946312
rtree,NP,0.3,15,q5,inferredtree,-75002.7118,197,150399.4236,150659.4636,151228.9118,0,40.9974412252
rtree,NP,0.3,15,poisson,optimizedtruetree,-69021.3889,197,138436.7778,138696.8178,139266.2660,0,25.943329158099985
rtree,NP,0.3,15,poisson,inferredtree,-69021.3888,197,138436.7777,138696.8177,139266.2659,0,25.944196003699982
rtree,NP,0.3,15,q2,optimizedtruetree,-65340.4038,217,131114.8076,131452.7076,132028.5078,0,31.477880564099998
rtree,NP,0.3,15,hbstyle,inferredtree,-61004.3245,217,122442.6490,122780.5490,123356.3492,0,25.23857548
rtree,NP,0.3,15,q3,optimizedtruetree,-66252.9430,216,132937.8860,133271.4945,133847.3756,0,28.181548267500002
rtree,NP,1.5,15,hbstyle,optimizedtruetree,-113749.4819,217,227932.9638,228270.8638,228846.6640,0,85.01573692310004
rtree,NP,1.5,15,poisson,inferredtree,-118399.1582,197,237192.3164,237452.3564,238021.8046,30,69.27187266970003
rtree,NP,1.5,15,q2,optimizedtruetree,-115051.6372,216,230535.2745,230868.8830,231444.7641,0,83.95351034439999
rtree,NP,1.5,15,pogofit,optimizedtruetree,-111159.4844,198,222714.9688,222978.5273,223548.6676,0,76.54902513019996
rtree,NP,1.5,15,q3,optimizedtruetree,-116443.7831,216,233319.5663,233653.1748,234229.0559,0,91.23931947649999
rtree,NP,1.5,15,hbstyle,inferredtree,-113704.0187,217,227842.0373,228179.9373,228755.7375,20,84.7666477938
rtree,NP,1.5,15,q5,optimizedtruetree,-126073.9824,197,252541.9647,252802.0047,253371.4530,0,183.22453755370003
rtree,NP,1.5,15,q1,inferredtree,-113063.8267,217,226561.6533,226899.5533,227475.3535,26,81.29277818
rtree,NP,1.5,15,q1,optimizedtruetree,-113133.0371,217,226700.0742,227037.9742,227613.7744,0,81.62968572940001
rtree,NP,1.5,15,pogofit,inferredtree,-111102.5349,198,222601.0698,222864.6284,223434.7686,28,76.29261894799998
rtree,NP,1.5,15,q2,inferredtree,-114973.0788,216,230378.1576,230711.7662,231287.6472,24,83.52105048119995
rtree,NP,1.5,15,q3,inferredtree,-116357.2994,216,233146.5988,233480.2073,234056.0884,26,90.88722839200004
rtree,NP,1.5,15,q5,inferredtree,-125943.9731,197,252281.9463,252541.9863,253111.4345,42,181.94372430279992
rtree,NP,1.5,15,poisson,optimizedtruetree,-118490.4599,197,237374.9199,237634.9599,238204.4081,0,69.6688744817
rtree,NP,1.5,15,q4,inferredtree,-118541.0571,197,237476.1143,237736.1543,238305.6025,24,81.87678801530002
rtree,NP,1.5,15,q4,optimizedtruetree,-118627.6231,197,237649.2462,237909.2862,238478.7344,0,82.35821131890006
rtree,NP,3,15,poisson,inferredtree,-123291.7738,197,246977.5476,247237.5876,247807.0359,110,81.63449450439998
rtree,NP,3,15,q2,optimizedtruetree,-119849.1173,198,240094.2347,240357.7932,240927.9335,0,127.08487800300004
rtree,NP,3,15,poisson,optimizedtruetree,-123652.2276,197,247698.4553,247958.4953,248527.9435,0,83.18051551710003
rtree,NP,3,15,q5,inferredtree,-129942.0209,197,260278.0418,260538.0818,261107.5300,106,114.37943915190003
rtree,NP,3,15,q4,inferredtree,-123517.9698,198,247431.9396,247695.4981,248265.6384,100,251.0527146890999
rtree,NP,3,15,q1,inferredtree,-117566.9650,217,235567.9300,235905.8300,236481.6302,102,111.6161798421
rtree,NP,3,15,q3,optimizedtruetree,-121331.3114,198,243058.6228,243322.1814,243892.3217,0,148.41042379190012
rtree,NP,3,15,hbstyle,inferredtree,-119967.2741,217,240368.5482,240706.4482,241282.2484,84,118.27157222620002
rtree,NP,3,15,q2,inferredtree,-119662.2326,198,239720.4652,239984.0237,240554.1640,88,123.73856595820006
rtree,NP,3,15,q3,inferredtree,-121140.1443,198,242676.2887,242939.8472,243509.9875,86,146.00608203470009
rtree,NP,3,15,hbstyle,optimizedtruetree,-120106.8492,217,240647.6983,240985.5983,241561.3986,0,119.00435467930002
rtree,NP,3,15,q5,optimizedtruetree,-130261.3577,197,260916.7153,261176.7553,261746.2036,0,116.00215095490009
rtree,NP,3,15,q1,optimizedtruetree,-117721.1694,217,235876.3387,236214.2387,236790.0389,0,112.27780043749996
rtree,NP,3,15,pogofit,inferredtree,-116246.5175,198,232889.0350,233152.5935,233722.7338,80,98.98488866290003
rtree,NP,3,15,pogofit,optimizedtruetree,-116407.3290,198,233210.6581,233474.2166,234044.3569,0,100.52803078759995
rtree,NP,3,15,q4,optimizedtruetree,-123692.0528,198,247780.1057,248043.6642,248613.8045,0,262.57164932989986
rtree,NP,0.3,16,hbstyle,optimizedtruetree,-61964.4112,217,124362.8223,124700.7223,125276.5226,0,27.0398614778
rtree,NP,0.3,16,hbstyle,inferredtree,-61964.4110,217,124362.8221,124700.7221,125276.5223,0,27.03295969860001
rtree,NP,0.3,16,q3,optimizedtruetree,-67883.7818,197,136161.5637,136421.6037,136991.0519,0,27.056975694900018
rtree,NP,0.3,16,pogofit,optimizedtruetree,-61547.8291,198,123491.6582,123755.2167,124325.3570,0,26.39452231650001
rtree,NP,0.3,16,q2,optimizedtruetree,-66893.9536,217,134221.9072,134559.8072,135135.6074,0,30.656492340000014
rtree,NP,0.3,16,poisson,inferredtree,-70295.3098,197,140984.6195,141244.6595,141814.1078,0,26.69987849480002
rtree,NP,0.3,16,poisson,optimizedtruetree,-70295.3098,197,140984.6197,141244.6597,141814.1079,0,26.698669464900004
rtree,NP,0.3,16,q4,optimizedtruetree,-69304.3740,216,139040.7480,139374.3566,139950.2376,0,29.526234939999988
rtree,NP,0.3,16,q5,inferredtree,-77317.0933,197,155028.1866,155288.2266,155857.6748,0,39.78347965470002
rtree,NP,0.3,16,q4,inferredtree,-69304.3740,216,139040.7480,139374.3565,139950.2376,0,29.527026672599995
rtree,NP,0.3,16,pogofit,inferredtree,-61547.8290,198,123491.6579,123755.2165,124325.3567,0,26.38842303539999
rtree,NP,0.3,16,q1,optimizedtruetree,-64905.8354,217,130245.6709,130583.5709,131159.3711,0,27.939655285000004
rtree,NP,0.3,16,q5,optimizedtruetree,-77317.0934,197,155028.1867,155288.2267,155857.6749,0,39.785358777800006
rtree,NP,0.3,16,q1,inferredtree,-64905.8347,217,130245.6695,130583.5695,131159.3697,0,27.92268749689999
rtree,NP,0.3,16,q2,inferredtree,-66893.9528,217,134221.9055,134559.8055,135135.6057,0,30.638159791199993
rtree,NP,0.3,16,q3,inferredtree,-67883.7818,197,136161.5636,136421.6036,136991.0518,0,27.05810162059999
rtree,NP,1.5,16,q4,inferredtree,-117756.7536,197,235907.5071,236167.5471,236736.9953,30,82.2821153979
rtree,NP,1.5,16,pogofit,optimizedtruetree,-110575.5946,198,221547.1892,221810.7477,222380.8880,0,79.37489582470006
rtree,NP,1.5,16,q5,inferredtree,-125371.0842,197,251136.1684,251396.2084,251965.6566,42,185.2332685899
rtree,NP,1.5,16,q3,inferredtree,-115635.2826,216,231702.5652,232036.1738,232612.0549,32,90.1105593992
rtree,NP,1.5,16,hbstyle,optimizedtruetree,-113129.9070,217,226693.8141,227031.7141,227607.5143,0,89.00421368910004
rtree,NP,1.5,16,q2,inferredtree,-114272.8405,216,228977.6809,229311.2895,229887.1706,40,83.14238651919999
rtree,NP,1.5,16,q1,inferredtree,-112419.2927,217,225272.5855,225610.4855,226186.2857,38,83.48154492029997
rtree,NP,1.5,16,q4,optimizedtruetree,-117843.4879,197,236080.9757,236341.0157,236910.4639,0,82.83257295600004
rtree,NP,1.5,16,q1,optimizedtruetree,-112527.6177,217,225489.2355,225827.1355,226402.9357,0,84.55189503209999
rtree,NP,1.5,16,pogofit,inferredtree,-110496.8038,198,221389.6076,221653.1661,222223.3064,26,79.13255468849997
rtree,NP,1.5,16,q5,optimizedtruetree,-125462.3351,197,251318.6703,251578.7103,252148.1585,0,186.33386179310003
rtree,NP,1.5,16,poisson,optimizedtruetree,-118107.6293,197,236609.2585,236869.2985,237438.7468,0,69.56416263869998
rtree,NP,1.5,16,q3,optimizedtruetree,-115725.1714,216,231882.3429,232215.9514,232791.8325,0,90.87003183439997
rtree,NP,1.5,16,hbstyle,inferredtree,-113056.8173,217,226547.6347,226885.5347,227461.3349,30,88.62098608779999
rtree,NP,1.5,16,q2,optimizedtruetree,-114381.8735,216,229195.7471,229529.3556,230105.2367,0,83.87508957339995
rtree,NP,1.5,16,poisson,inferredtree,-117985.9155,197,236365.8310,236625.8710,237195.3192,36,69.0359959049
rtree,NP,3,16,poisson,optimizedtruetree,-123808.8059,197,248011.6119,248271.6519,248841.1001,0,83.14698985980003
rtree,NP,3,16,q4,optimizedtruetree,-123959.5161,197,248313.0323,248573.0723,249142.5205,0,104.61416049620007
rtree,NP,3,16,q1,optimizedtruetree,-117869.7742,217,236173.5483,236511.4483,237087.2486,0,114.24169364100003
rtree,NP,3,16,pogofit,inferredtree,-116281.1979,198,232958.3958,233221.9543,233792.0946,94,103.96724883700001
rtree,NP,3,16,q5,optimizedtruetree,-130349.4009,197,261092.8019,261352.8419,261922.2901,0,116.01542970969999
rtree,NP,3,16,pogofit,optimizedtruetree,-116485.4870,198,233366.9739,233630.5324,234200.6727,0,105.85992354919993
rtree,NP,3,16,hbstyle,optimizedtruetree,-120078.1059,217,240590.2118,240928.1118,241503.9120,0,121.80206096150003
rtree,NP,3,16,q3,optimizedtruetree,-121631.9618,198,243659.9237,243923.4822,244493.6225,0,143.54309096650005
rtree,NP,3,16,hbstyle,inferredtree,-119889.3667,217,240212.7334,240550.6334,241126.4337,86,121.2189785039
rtree,NP,3,16,q2,optimizedtruetree,-120106.3909,198,240608.7818,240872.3403,241442.4806,0,127.32508734089998
rtree,NP,3,16,q3,inferredtree,-121361.9439,198,243119.8879,243383.4464,243953.5867,98,137.4615549394
rtree,NP,3,16,q2,inferredtree,-119872.4237,198,240140.8474,240404.4059,240974.5462,98,124.80192992749997
rtree,NP,3,16,poisson,inferredtree,-123466.5453,197,247327.0905,247587.1305,248156.5787,110,81.63504572590006
rtree,NP,3,16,q1,inferredtree,-117667.1529,217,235768.3058,236106.2058,236682.0060,100,111.67373197210007
rtree,NP,3,16,q4,inferredtree,-123638.6684,197,247671.3368,247931.3768,248500.8250,92,102.82456527990007
rtree,NP,3,16,q5,inferredtree,-130043.8317,197,260481.6634,260741.7034,261311.1516,100,114.60965736309998
rtree,NP,0.3,17,q3,inferredtree,-67045.7424,198,134487.4849,134751.0434,135321.1837,0,27.110423784699996
rtree,NP,0.3,17,q2,inferredtree,-66258.0200,198,132912.0399,133175.5984,133745.7387,0,27.19084253269999
rtree,NP,0.3,17,q1,inferredtree,-64246.8240,218,128929.6480,129271.8845,129847.5588,0,26.61871890069998
rtree,NP,0.3,17,q2,optimizedtruetree,-66258.0200,198,132912.0399,133175.5984,133745.7387,0,27.190933044999994
rtree,NP,0.3,17,poisson,optimizedtruetree,-69679.1460,197,139752.2920,140012.3320,140581.7803,0,26.38906014770001
rtree,NP,0.3,17,q4,inferredtree,-68458.8383,216,137349.6766,137683.2851,138259.1662,0,29.304619478600017
rtree,NP,0.3,17,poisson,inferredtree,-69679.1459,197,139752.2919,140012.3319,140581.7801,0,26.39032461539999
rtree,NP,0.3,17,q5,inferredtree,-76256.0436,198,152908.0871,153171.6457,153741.7860,0,41.13263344340002
rtree,NP,0.3,17,hbstyle,inferredtree,-61490.8792,217,123415.7583,123753.6583,124329.4585,0,25.833396454000017
rtree,NP,0.3,17,q3,optimizedtruetree,-67045.7426,198,134487.4851,134751.0437,135321.1840,0,27.117611558600007
rtree,NP,0.3,17,hbstyle,optimizedtruetree,-61490.8795,217,123415.7591,123753.6591,124329.4593,0,25.842680680400015
rtree,NP,0.3,17,q5,optimizedtruetree,-76256.0436,198,152908.0871,153171.6457,153741.7860,0,41.132636812000044
rtree,NP,0.3,17,pogofit,inferredtree,-61067.9921,198,122531.9841,122795.5427,123365.6830,0,25.897015086100012
rtree,NP,0.3,17,q1,optimizedtruetree,-64246.8241,218,128929.6482,129271.8847,129847.5590,0,26.625147786699983
rtree,NP,0.3,17,pogofit,optimizedtruetree,-61067.9930,198,122531.9860,122795.5446,123365.6849,0,25.913068687999996
rtree,NP,0.3,17,q4,optimizedtruetree,-68458.8383,216,137349.6767,137683.2852,138259.1663,0,29.303541597899997
rtree,NP,1.5,17,poisson,optimizedtruetree,-117848.9043,197,236091.8085,236351.8485,236921.2967,0,69.2259586542
rtree,NP,1.5,17,q5,optimizedtruetree,-125049.8237,197,250493.6475,250753.6875,251323.1357,0,177.89052047819993
rtree,NP,1.5,17,q1,optimizedtruetree,-112127.3946,217,224688.7892,225026.6892,225602.4894,0,82.57183845780003
rtree,NP,1.5,17,pogofit,inferredtree,-110015.2362,198,220426.4724,220690.0310,221260.1713,26,79.73561065780002
rtree,NP,1.5,17,q4,optimizedtruetree,-117648.5625,197,235691.1250,235951.1650,236520.6132,0,81.21275260279998
rtree,NP,1.5,17,pogofit,optimizedtruetree,-110062.1982,198,220520.3964,220783.9549,221354.0952,0,80.07177817549999
rtree,NP,1.5,17,hbstyle,optimizedtruetree,-112556.9375,217,225547.8750,225885.7750,226461.5752,0,83.50523475539991
rtree,NP,1.5,17,q2,optimizedtruetree,-114010.6220,216,228453.2440,228786.8526,229362.7336,0,86.0627624353
rtree,NP,1.5,17,poisson,inferredtree,-117770.7139,197,235935.4279,236195.4679,236764.9161,34,68.80898012430002
rtree,NP,1.5,17,q3,optimizedtruetree,-115524.1279,198,231444.2559,231707.8144,232277.9547,0,94.64858682370004
rtree,NP,1.5,17,hbstyle,inferredtree,-112498.5147,217,225431.0294,225768.9294,226344.7296,28,83.3776441049
rtree,NP,1.5,17,q1,inferredtree,-112081.9273,217,224597.8546,224935.7546,225511.5548,30,82.05675442800003
rtree,NP,1.5,17,q2,inferredtree,-113959.4582,216,228350.9164,228684.5249,229260.4060,22,85.62389667409995
rtree,NP,1.5,17,q3,inferredtree,-115459.2537,198,231314.5074,231578.0659,232148.2062,34,95.79988103669997
rtree,NP,1.5,17,q5,inferredtree,-124973.0882,197,250340.1763,250600.2163,251169.6645,40,176.62155446609992
rtree,NP,1.5,17,q4,inferredtree,-117575.9572,197,235545.9144,235805.9544,236375.4026,24,80.77127613269998
rtree,NP,3,17,q5,inferredtree,-130640.3581,197,261674.7161,261934.7561,262504.2043,92,116.55982927639997
rtree,NP,3,17,q4,inferredtree,-124130.4114,197,248654.8229,248914.8629,249484.3111,110,105.15112583420002
rtree,NP,3,17,pogofit,optimizedtruetree,-117074.5607,198,234545.1213,234808.6798,235378.8201,0,103.85086011349996
rtree,NP,3,17,hbstyle,optimizedtruetree,-120723.3038,217,241880.6076,242218.5076,242794.3078,0,122.10753640139993
rtree,NP,3,17,q1,inferredtree,-118234.2978,217,236902.5957,237240.4957,237816.2959,94,112.76401495929993
rtree,NP,3,17,q5,optimizedtruetree,-130918.6071,197,262231.2143,262491.2543,263060.7025,0,118.16610847909999
rtree,NP,3,17,q2,inferredtree,-120371.3648,198,241138.7296,241402.2882,241972.4285,88,126.16122566660006
rtree,NP,3,17,q1,optimizedtruetree,-118424.7191,217,237283.4381,237621.3381,238197.1383,0,115.35063677770005
rtree,NP,3,17,pogofit,inferredtree,-116893.9680,198,234183.9361,234447.4946,235017.6349,96,101.48693359699999
rtree,NP,3,17,q3,inferredtree,-121916.9070,198,244229.8140,244493.3725,245063.5128,102,142.21506710860015
rtree,NP,3,17,q4,optimizedtruetree,-124392.9450,197,249179.8899,249439.9299,250009.3781,0,106.7908866239
rtree,NP,3,17,q2,optimizedtruetree,-120592.9374,198,241581.8748,241845.4333,242415.5736,0,129.04676878349994
rtree,NP,3,17,poisson,optimizedtruetree,-124353.1104,197,249100.2207,249360.2607,249929.7090,0,84.0582974087
rtree,NP,3,17,poisson,inferredtree,-123942.1913,197,248278.3827,248538.4227,249107.8709,110,82.64831812869997
rtree,NP,3,17,q3,optimizedtruetree,-122140.5698,198,244677.1396,244940.6981,245510.8384,0,140.96359259970006
rtree,NP,3,17,hbstyle,inferredtree,-120579.6402,217,241593.2803,241931.1803,242506.9806,92,120.78799665050002
rtree,NP,0.3,18,q4,inferredtree,-68772.6946,216,137977.3892,138310.9977,138886.8788,0,29.36943326940002
rtree,NP,0.3,18,q5,inferredtree,-76436.3253,198,153268.6507,153532.2092,154102.3495,0,40.71949200309999
rtree,NP,0.3,18,q1,inferredtree,-64449.0587,218,129334.1174,129676.3539,130252.0282,0,27.089443890800005
rtree,NP,0.3,18,q3,inferredtree,-67264.7631,197,134923.5263,135183.5663,135753.0145,0,27.3128210922
rtree,NP,0.3,18,poisson,optimizedtruetree,-69918.9794,197,140231.9587,140491.9987,141061.4469,0,26.51091779630001
rtree,NP,0.3,18,q4,optimizedtruetree,-68772.6946,216,137977.3892,138310.9978,138886.8789,0,29.368519985800027
rtree,NP,0.3,18,q2,inferredtree,-66211.6889,217,132857.3778,133195.2778,133771.0780,0,30.060510445699997
rtree,NP,0.3,18,q1,optimizedtruetree,-64449.0588,218,129334.1176,129676.3541,130252.0284,0,27.09657430370001
rtree,NP,0.3,18,pogofit,inferredtree,-61100.3875,198,122596.7751,122860.3336,123430.4739,0,25.45670156539999
rtree,NP,0.3,18,q5,optimizedtruetree,-76436.3253,198,153268.6507,153532.2092,154102.3495,0,40.71949172290002
