type,name,tree,repl,pogofit,hb,q1,q2,q3,q4,q5,poisson,true
rtree,NP,1.5,8,0.8440,0.7200,1.0000,0.7160,0.7660,0.4980,0.0930,0.1790,0.0450
rtree,NP,1.5,9,0.5380,0.4960,1.0000,0.8670,0.7610,0.1660,0.1540,0.0780,0.0010
rtree,NP,1.5,10,0.8590,0.5360,1.0000,0.7690,0.8390,0.7000,0.0080,0.4410,0.0060
rtree,NP,1.5,11,0.8620,0.6070,1.0000,0.8210,0.8250,0.3400,0.1100,0.1410,0.1850
rtree,NP,1.5,12,0.8040,0.3620,1.0000,0.6730,0.7810,0.5080,0.1260,0.4350,0.0180
rtree,NP,1.5,13,0.8270,0.7520,1.0000,0.7900,0.7900,0.7890,0.0850,0.5170,0.1230
rtree,NP,1.5,14,0.8480,0.7000,1.0000,0.8980,0.7480,0.4520,0.0650,0.4230,0.1030
rtree,NP,1.5,15,0.7570,0.6670,1.0000,0.9370,0.4800,0.7090,0.1970,0.6290,0.0040
rtree,NP,1.5,16,0.7230,0.6620,1.0000,0.6440,0.6030,0.3530,0.0280,0.4800,0.0000
rtree,NP,1.5,17,0.8980,0.8840,1.0000,0.6620,0.8360,0.4290,0.0570,0.4590,0.1270
rtree,NP,1.5,18,0.8820,0.4960,1.0000,0.7430,0.6500,0.6370,0.1610,0.2430,0.2160
rtree,NP,1.5,19,0.8310,0.6230,1.0000,0.9190,0.8060,0.8500,0.0080,0.1110,0.0690
rtree,NP,1.5,20,0.9090,0.6170,1.0000,0.4930,0.3440,0.6270,0.0050,0.1840,0.0550
rtree,NP,0.75,1,1.0000,0.7700,0.7540,0.9860,1.0000,0.9970,0.0560,0.9990,1.0000
rtree,NP,0.75,2,0.7740,0.7770,1.0000,0.9240,0.7770,0.9880,0.1780,0.3350,0.7770
rtree,NP,0.75,3,0.8560,0.8570,1.0000,0.7580,0.8620,0.6020,0.4250,0.4170,0.8600
rtree,NP,0.75,4,0.9240,1.0000,0.9990,0.7490,0.9920,1.0000,0.3540,0.3360,0.9450
rtree,NP,0.75,5,0.5520,0.5540,1.0000,0.9110,0.5540,0.7250,0.0280,0.6670,0.5540
rtree,NP,0.75,6,0.9960,0.8220,1.0000,0.6130,0.6110,0.6110,0.0320,0.6130,0.8320
rtree,NP,0.75,7,0.8980,0.8040,1.0000,0.5290,0.8040,0.5360,0.5360,0.1180,0.8040
rtree,NP,0.75,8,0.8900,0.9980,1.0000,0.9990,0.9980,0.3560,0.2660,0.1890,0.8860
rtree,NP,0.75,9,0.9950,0.7620,1.0000,0.9990,0.9880,0.7430,0.9670,0.0990,0.9990
rtree,NP,0.75,10,0.8760,1.0000,0.8780,0.7000,0.8660,1.0000,0.0060,0.8640,0.9850
rtree,NP,0.75,11,0.8530,1.0000,0.9420,1.0000,1.0000,0.1320,0.9310,0.5520,1.0000
rtree,NP,0.75,12,0.7590,0.7590,0.9170,0.8100,1.0000,0.9180,0.2640,0.8090,0.1770
rtree,NP,0.75,13,0.9190,0.9980,1.0000,0.6840,0.6840,0.9210,0.9960,0.5130,0.5100
rtree,NP,0.75,14,0.6960,0.6960,1.0000,0.7000,0.6990,0.6990,0.1680,0.0360,0.6990
rtree,NP,0.75,15,0.9290,0.9980,1.0000,0.9860,0.5020,0.5020,0.1360,0.5240,0.9250
rtree,NP,0.75,16,0.9740,0.8870,1.0000,1.0000,0.9950,0.9720,0.1190,0.1460,0.9150
rtree,NP,0.75,17,0.9960,0.9980,1.0000,0.9000,0.9910,0.9990,0.0370,0.7650,0.8350
