name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF02852,q4,optimizedtruetree,-19456.0405,219,39350.0810,135710.0810,39995.8594,0,84,64.79755689870001
PF02852,poisson,optimizedtruetree,-20612.0166,199,41622.0333,121222.0333,42208.8365,0,84,45.77677240180001
PF03478,q3,optimizedtruetree,-10063.0942,205,20536.1884,104996.1884,21091.6421,0,82,58.759475017399964
PF03478,q1,inferredtree,-9698.1891,225,19846.3782,121546.3782,20456.0225,82,0,80.91594412210002
PF03478,pogofit,optimizedtruetree,-9539.4386,206,19490.8772,104774.8772,20049.0404,0,82,97.14419745839997
PF03478,poisson,inferredtree,-10610.2286,205,21630.4572,106090.4572,22185.9109,116,96,47.35921620640002
PF03478,q3,inferredtree,-10037.6639,205,20485.3277,104945.3277,21040.7814,100,70,57.95316484160001
PF03478,q2,inferredtree,-9857.4909,226,20166.9819,122770.9819,20779.3357,98,66,119.7587646665
PF03478,q2,optimizedtruetree,-9902.8313,226,20257.6625,122861.6625,20870.0164,0,82,111.74438316640003
PF03478,q4,inferredtree,-10252.5517,207,20919.1033,107031.1033,21479.9761,94,84,123.5769547475
PF03478,q5,inferredtree,-11122.0454,206,22656.0908,107940.0908,23214.2540,108,108,97.54723610009992
PF03478,q4,optimizedtruetree,-10293.5071,207,21001.0142,107113.0142,21561.8869,0,82,126.99129823849994
PF03478,poisson,optimizedtruetree,-10681.0396,205,21772.0791,106232.0791,22327.5328,0,82,48.339102399399955
PF03478,q5,optimizedtruetree,-11170.3708,206,22752.7415,108036.7415,23310.9047,0,82,95.3477286081999
PF03478,q1,optimizedtruetree,-9731.3611,225,19912.7222,121612.7222,20522.3665,0,82,78.99171679949995
PF03478,pogofit,inferredtree,-9523.0912,206,19458.1825,104742.1825,20016.3457,100,68,98.83490323980003
PF07978,q3,optimizedtruetree,-5232.1383,74,10612.2765,10959.1515,10810.0659,0,4,18.258563933199998
PF07978,poisson,optimizedtruetree,-5642.8937,55,11395.7873,11516.5716,11542.7929,0,4,14.384038893699998
PF07978,q2,optimizedtruetree,-5210.0202,57,10534.0403,10668.9791,10686.3916,0,4,20.5023890159
PF07978,poisson,inferredtree,-5631.9026,55,11373.8051,11494.5894,11520.8107,24,22,14.078974032200001
PF07978,q4,inferredtree,-5380.8809,75,10911.7618,11279.5037,11112.2239,20,16,44.876607171599986
PF07978,q5,inferredtree,-5788.5435,56,11689.0871,11816.7671,11838.7655,18,20,48.302837041399975
PF07978,pogofit,optimizedtruetree,-4964.7018,56,10041.4036,10169.0836,10191.0820,0,4,19.913984407499996
PF07978,q3,inferredtree,-5226.8458,74,10601.6916,10948.5666,10799.4810,4,0,18.1272332585
PF07978,q2,inferredtree,-5205.3535,57,10524.7070,10659.6458,10677.0583,4,0,20.569981001
PF07978,q1,inferredtree,-5131.5445,56,10375.0890,10502.7690,10524.7674,4,0,21.610375701099997
PF07978,q4,optimizedtruetree,-5388.1855,75,10926.3710,11294.1129,11126.8331,0,4,43.1527157905
PF07978,q5,optimizedtruetree,-5800.6262,56,11713.2524,11840.9324,11862.9308,0,4,48.37912389639998
PF07978,q1,optimizedtruetree,-5135.4391,56,10382.8781,10510.5581,10532.5566,0,4,21.605272417699997
PF07978,pogofit,inferredtree,-4963.3007,56,10038.6015,10166.2815,10188.2799,4,4,19.987792491199997
PF06026,q3,optimizedtruetree,-15784.8697,131,31831.7394,32312.0727,32266.4131,0,32,28.895631081599987
PF06026,poisson,inferredtree,-17204.8583,111,34631.7166,34901.9775,35000.0279,46,50,22.283927914899994
PF06026,poisson,optimizedtruetree,-17269.3494,111,34760.6988,35030.9597,35129.0101,0,32,22.506463685000003
PF06026,q2,optimizedtruetree,-15387.6119,132,31039.2238,31533.7590,31477.2156,0,32,38.47401034709999
PF06026,q1,inferredtree,-14924.7479,113,30075.4959,30361.7625,30450.4434,32,0,40.5879187718
PF06026,q3,inferredtree,-15769.0593,131,31800.1186,32280.4519,32234.7923,34,38,28.747415294499994
PF06026,q2,inferredtree,-15347.9497,132,30959.8995,31454.4347,31397.8913,44,16,42.02305310149999
PF06026,q4,inferredtree,-16318.2221,112,32860.4442,33138.5981,33232.0736,46,32,75.11512900390001
PF06026,q5,inferredtree,-18101.6930,111,36425.3861,36695.6470,36793.6974,52,46,45.660268011700005
PF06026,q4,optimizedtruetree,-16374.9567,112,32973.9135,33252.0673,33345.5429,0,32,76.29762929780001
PF06026,q5,optimizedtruetree,-18165.1833,111,36552.3665,36822.6274,36920.6778,0,32,45.841914749900006
PF06026,pogofit,inferredtree,-14763.4904,112,29750.9807,30029.1346,30122.6102,44,38,33.809562279899986
PF06026,q1,optimizedtruetree,-14959.4881,113,30144.9763,30431.2429,30519.9238,0,32,33.4733836321
PF06026,pogofit,optimizedtruetree,-14788.1191,112,29800.2383,30078.3921,30171.8677,0,32,34.472672446599994
PF01263,q3,inferredtree,-45609.1784,145,91508.3568,91659.5711,92096.2505,42,20,77.41447840179997
PF01263,q2,inferredtree,-45009.6639,143,90305.3278,90451.3704,90885.1126,30,24,54.933577560200035
PF01263,q1,inferredtree,-44286.8732,145,88863.7463,89014.9606,89451.6401,34,0,72.20688169630003
PF01263,q2,optimizedtruetree,-45038.3434,143,90362.6867,90508.7293,90942.4715,0,34,55.08276769240005
PF01263,q4,inferredtree,-46709.9792,143,93705.9585,93852.0010,94285.7433,38,24,67.84030039590003
PF01263,poisson,inferredtree,-48493.3420,143,97272.6841,97418.7266,97852.4689,34,14,45.28041627719998
PF01263,q5,inferredtree,-49970.1621,143,100226.3242,100372.3668,100806.1090,42,40,132.00685139079994
PF01263,q3,optimizedtruetree,-45665.9757,145,91621.9514,91773.1657,92209.8451,0,34,76.68955641650004
PF01263,poisson,optimizedtruetree,-48541.0720,143,97368.1440,97514.1866,97947.9289,0,34,45.58951004859999
PF01263,pogofit,inferredtree,-43923.2569,144,88134.5138,88283.1259,88718.3531,32,4,62.92222093829998
PF01263,q1,optimizedtruetree,-44339.3175,145,88968.6349,89119.8492,89556.5286,0,34,72.0541485139
PF01263,q5,optimizedtruetree,-50021.9671,143,100329.9342,100475.9767,100909.7190,0,34,133.45176415519998
PF01263,pogofit,optimizedtruetree,-43963.2995,144,88214.5990,88363.2111,88798.4382,0,34,63.284843217300015
PF01263,q4,optimizedtruetree,-46747.8919,143,93781.7837,93927.8263,94361.5685,0,34,68.11582344230001
PF03237,q5,optimizedtruetree,-23472.1505,54,47052.3011,47064.8858,47282.7299,0,8,98.37917790190001
PF03237,q1,optimizedtruetree,-21551.5168,54,43211.0337,43223.6184,43441.4625,0,8,33.6692965421
PF03237,pogofit,inferredtree,-21335.8020,54,42779.6040,42792.1888,43010.0329,12,14,32.99436890939999
PF03237,poisson,optimizedtruetree,-22504.7332,53,45115.4665,45127.5680,45341.6281,0,8,25.0802155076
PF03237,q4,optimizedtruetree,-22296.6223,73,44739.2447,44763.0946,45050.7503,0,8,72.30861953260002
PF03237,q2,optimizedtruetree,-21734.3601,53,43574.7202,43586.8217,43800.8818,0,8,45.233534836799976
PF03237,poisson,inferredtree,-22492.5161,53,45091.0322,45103.1337,45317.1938,22,18,24.519017442300008
PF03237,q4,inferredtree,-22294.1748,73,44734.3496,44758.1995,45045.8552,4,12,72.65968447889999
PF03237,q3,optimizedtruetree,-21965.3310,73,44076.6620,44100.5119,44388.1676,0,8,62.077920032499996
PF03237,q5,inferredtree,-23462.3371,54,47032.6742,47045.2590,47263.1031,20,24,98.18189996289999
PF03237,q1,inferredtree,-21546.5720,54,43201.1440,43213.7287,43431.5728,8,0,33.573819736400004
PF03237,q3,inferredtree,-21962.6797,73,44071.3594,44095.2093,44382.8651,10,14,62.74951384069999
PF03237,pogofit,optimizedtruetree,-21337.4149,54,42782.8299,42795.4146,43013.2587,0,8,33.224315331399985
PF03237,q2,inferredtree,-21733.3926,53,43572.7852,43584.8867,43798.9468,10,10,45.36117461959999
PF01734,q3,optimizedtruetree,-20284.3930,122,40812.7859,40942.1480,41285.1843,0,30,41.57815806479999
PF01734,poisson,inferredtree,-21713.2709,103,43632.5417,43717.8963,44031.3698,36,40,31.739416070099995
PF01734,poisson,optimizedtruetree,-21743.7778,103,43693.5556,43778.9102,44092.3837,0,30,32.046848665800006
PF01734,q2,optimizedtruetree,-20068.6543,124,40385.3086,40520.0912,40865.4512,0,30,76.35026681190001
PF01734,q4,optimizedtruetree,-20861.8454,104,41931.6908,42019.0508,42334.3911,0,30,50.43115742229998
PF01734,pogofit,optimizedtruetree,-19594.7982,104,39397.5964,39484.9564,39800.2967,0,30,60.0677255017
PF01734,q4,inferredtree,-20850.7632,104,41909.5264,41996.8864,42312.2266,34,34,50.35154119590001
PF01734,q5,inferredtree,-22023.8610,103,44253.7220,44339.0766,44652.5501,28,40,90.28728821970002
PF01734,pogofit,inferredtree,-19589.2125,104,39386.4250,39473.7850,39789.1252,20,10,60.10883283249997
PF01734,q1,optimizedtruetree,-19791.4321,105,39792.8643,39882.2619,40199.4366,0,30,63.32007014480003
PF01734,q3,inferredtree,-20276.4685,122,40796.9369,40926.2990,41269.3353,22,36,41.625794929400016
PF01734,q5,optimizedtruetree,-22042.1539,103,44290.3079,44375.6625,44689.1360,0,30,90.76364177500004
PF01734,q2,inferredtree,-20052.4926,124,40352.9852,40487.7678,40833.1278,28,24,77.00409799910001
PF01734,q1,inferredtree,-19779.9330,105,39769.8661,39859.2636,40176.4384,30,0,63.74077471590001
PF00963,q5,optimizedtruetree,-10705.4561,74,21558.9122,21671.0334,21792.6823,0,16,44.4999713937
PF00963,pogofit,inferredtree,-9293.3904,74,18734.7807,18846.9019,18968.5508,20,18,31.083395491499996
PF00963,q1,optimizedtruetree,-9470.6581,93,19127.3161,19345.8661,19421.1082,0,16,30.2703646515
PF00963,q1,inferredtree,-9462.5250,93,19111.0500,19329.6000,19404.8422,16,0,30.963340218599996
PF00963,pogofit,optimizedtruetree,-9303.1229,74,18754.2459,18866.3671,18988.0160,0,16,31.1423186959
PF00963,q2,inferredtree,-9639.7323,74,19427.4647,19539.5859,19661.2348,20,24,24.978113727099995
PF00963,q3,inferredtree,-9744.8757,75,19639.7515,19756.0780,19876.6806,24,28,22.951062170900002
PF00963,q5,inferredtree,-10688.9665,74,21525.9330,21638.0542,21759.7031,28,32,44.6881917132
PF00963,q4,inferredtree,-9895.6610,94,19979.3221,20205.3980,20276.2733,28,24,78.14018345650001
PF00963,q4,optimizedtruetree,-9910.0102,94,20008.0204,20234.0963,20304.9716,0,16,74.15614969429998
PF00963,poisson,inferredtree,-10805.2380,73,21756.4760,21864.5160,21987.0871,36,40,21.45368218339999
PF00963,q2,optimizedtruetree,-9645.6453,74,19439.2906,19551.4119,19673.0607,0,16,24.60855910809999
PF00963,q3,optimizedtruetree,-9752.3399,75,19654.6799,19771.0064,19891.6090,0,16,22.965476492700002
PF00963,poisson,optimizedtruetree,-10831.1203,73,21808.2406,21916.2806,22038.8516,0,16,21.406256966599997
PF03767,q3,optimizedtruetree,-12729.4160,63,25584.8319,25611.6226,25830.5255,0,2,29.5659377434
PF03767,q3,inferredtree,-12721.9769,63,25569.9537,25596.7444,25815.6472,10,8,29.565470362499994
PF03767,q2,inferredtree,-12533.4192,62,25190.8384,25216.7059,25432.6320,4,6,23.532101520500003
PF03767,poisson,optimizedtruetree,-13617.8390,61,27357.6780,27382.6417,27595.5717,0,2,15.247507118600003
PF03767,q1,inferredtree,-12379.1229,63,24884.2457,24911.0364,25129.9393,2,0,21.895010310500002
PF03767,q4,inferredtree,-13035.2838,61,26192.5676,26217.5313,26430.4613,4,6,21.89526768849999
PF03767,q5,inferredtree,-13939.6848,61,28001.3696,28026.3333,28239.2633,10,8,37.806396454899996
PF03767,q2,optimizedtruetree,-12534.9468,62,25193.8935,25219.7611,25435.6872,0,2,23.4762877432
PF03767,poisson,inferredtree,-13609.8937,61,27341.7875,27366.7512,27579.6812,14,12,15.143874257100013
PF03767,pogofit,optimizedtruetree,-12243.0040,62,24610.0079,24635.8755,24851.8016,0,2,22.440840409600003
PF03767,q4,optimizedtruetree,-13036.2333,61,26194.4666,26219.4303,26432.3604,0,2,22.007297780300004
PF03767,q5,optimizedtruetree,-13951.4454,61,28024.8908,28049.8545,28262.7845,0,2,38.06695730710002
PF03767,q1,optimizedtruetree,-12379.5982,63,24885.1964,24911.9871,25130.8900,0,2,21.811309346900003
PF03767,pogofit,inferredtree,-12242.7078,62,24609.4156,24635.2832,24851.2093,2,0,22.49326186089999
PF02349,q1,inferredtree,-19430.7694,429,39719.5388,408659.5388,41094.0577,178,0,71.28599261800001
PF02349,q2,inferredtree,-19783.1789,429,40424.3577,409364.3577,41798.8766,186,98,74.1781896236
PF02349,q3,inferredtree,-20199.5004,410,41219.0009,378239.0009,42532.6436,144,142,53.2115890523
PF02349,q5,inferredtree,-23202.9144,410,47225.8288,384245.8288,48539.4715,156,172,106.24580146629997
PF02349,q4,inferredtree,-20409.2299,410,41638.4598,378658.4598,42952.1025,134,148,74.66423859950004
PF02349,q3,optimizedtruetree,-20293.5123,410,41407.0246,378427.0246,42720.6673,4,174,72.82310565489999
PF02349,poisson,inferredtree,-21965.2982,409,44748.5965,380128.5965,46059.0352,146,148,57.233290196700004
PF02349,q2,optimizedtruetree,-19938.4122,429,40734.8245,409674.8245,42109.3433,4,174,75.1900175308999
PF02349,pogofit,optimizedtruetree,-18989.5347,410,38799.0693,375819.0693,40112.7121,4,174,73.86261777399992
PF02349,q4,optimizedtruetree,-20513.7319,410,41847.4637,378867.4637,43161.1065,4,174,75.2311492313
PF02349,q1,optimizedtruetree,-19555.6052,429,39969.2103,408909.2103,41343.7292,4,174,71.63893424519993
PF02349,pogofit,inferredtree,-18856.5689,410,38533.1379,375553.1379,39846.7806,182,104,74.22933905179997
PF02349,q5,optimizedtruetree,-23345.0416,410,47510.0833,384530.0833,48823.7260,4,174,107.7669777009999
PF02349,poisson,optimizedtruetree,-22083.5063,409,44985.0126,380365.0126,46295.4513,4,174,58.25533329469998
PF03195,q3,optimizedtruetree,-3396.4412,39,6870.8823,6917.4495,6975.1227,0,20,10.360976814099999
PF03195,pogofit,optimizedtruetree,-3165.5930,40,6411.1859,6460.8829,6518.0991,0,20,15.940889257400004
PF03195,poisson,inferredtree,-3697.0892,39,7472.1783,7518.7455,7576.4186,18,14,8.609297991799997
PF03195,q2,optimizedtruetree,-3295.2220,60,6710.4440,6869.5744,6870.8137,0,20,16.712029444299997
PF03195,q1,inferredtree,-3241.9075,41,6565.8149,6618.7995,6675.4009,20,0,15.1624963327
PF03195,q4,optimizedtruetree,-3432.9247,39,6943.8495,6990.4166,7048.0898,0,20,12.120359915500002
PF03195,q3,inferredtree,-3388.0687,39,6854.1373,6900.7045,6958.3777,22,8,10.4956960625
PF03195,q2,inferredtree,-3283.6789,60,6687.3579,6846.4883,6847.7276,18,18,17.47550523490001
PF03195,q4,inferredtree,-3431.1272,39,6940.2543,6986.8215,7044.4947,12,16,12.2366934548
PF03195,q5,inferredtree,-3720.4845,39,7518.9690,7565.5361,7623.2093,28,28,15.702226968899998
PF03195,poisson,optimizedtruetree,-3715.6294,39,7509.2589,7555.8261,7613.4992,0,20,8.75663502
PF03195,q5,optimizedtruetree,-3744.0575,39,7566.1150,7612.6821,7670.3553,0,20,15.265079110299999
PF03195,q1,optimizedtruetree,-3253.7047,41,6589.4094,6642.3940,6698.9954,0,20,14.875158591999998
PF03195,pogofit,inferredtree,-3156.6725,40,6393.3450,6443.0420,6500.2581,18,10,16.4021901063
PF01183,q3,inferredtree,-9919.1875,53,19944.3750,19979.2775,20123.7533,2,10,17.4267437805
PF01183,q2,inferredtree,-9773.3248,54,19654.6497,19691.0914,19837.4124,6,6,20.629648857600007
PF01183,q4,optimizedtruetree,-10158.1596,72,20460.3191,20532.8157,20704.0028,0,10,19.866636723400003
PF01183,q1,inferredtree,-9570.8976,74,19289.7953,19367.4176,19540.2479,10,0,19.467310400499994
PF01183,q4,inferredtree,-10155.8738,72,20455.7475,20528.2441,20699.4312,2,8,19.82798540590001
PF01183,q5,inferredtree,-11098.4505,53,22302.9010,22337.8035,22482.2793,6,8,32.4636799407
PF01183,pogofit,optimizedtruetree,-9425.7445,54,18959.4890,18995.9307,19142.2517,0,10,19.611607629500003
PF01183,q1,optimizedtruetree,-9574.7531,74,19297.5063,19375.1287,19547.9589,0,10,19.3891873384
PF01183,pogofit,inferredtree,-9423.4158,54,18954.8315,18991.2732,19137.5943,2,8,19.596545587999998
PF01183,q5,optimizedtruetree,-11101.4718,53,22308.9436,22343.8461,22488.3219,0,10,32.3116500607
PF01183,q3,optimizedtruetree,-9920.1885,53,19946.3769,19981.2794,20125.7552,0,10,17.4436281196
PF01183,q2,optimizedtruetree,-9775.0198,54,19658.0396,19694.4813,19840.8024,0,10,20.5429459163
PF01183,poisson,inferredtree,-10504.6196,53,21115.2392,21150.1416,21294.6174,8,10,14.672464093599999
PF01183,poisson,optimizedtruetree,-10510.0500,53,21126.1000,21161.0024,21305.4782,0,10,14.713089195400002
PF02525,poisson,optimizedtruetree,-17750.4302,81,35662.8605,35743.3696,35947.1209,0,18,24.6295674435
PF02525,q5,optimizedtruetree,-18636.9780,82,37437.9559,37520.9559,37725.7258,0,18,70.0378629227
PF02525,q1,optimizedtruetree,-16267.4055,82,32698.8109,32781.8109,32986.5808,0,18,40.529414354999986
PF02525,pogofit,inferredtree,-16030.6924,82,32225.3848,32308.3848,32513.1547,12,6,34.25930171290001
PF02525,q3,inferredtree,-16719.3070,82,33602.6140,33685.6140,33890.3839,10,12,32.172601791900014
PF02525,q2,inferredtree,-16427.7149,100,33055.4298,33193.7860,33406.3686,14,12,29.275329386699994
PF02525,q1,inferredtree,-16252.8616,82,32669.7232,32752.7232,32957.4930,18,0,40.82191635210001
PF02525,q4,optimizedtruetree,-17132.7274,101,34467.4547,34609.5513,34821.9030,0,18,38.9112528541
PF02525,q4,inferredtree,-17113.1071,101,34428.2142,34570.3108,34782.6624,16,14,38.62350795479999
PF02525,q5,inferredtree,-18605.9898,82,37375.9796,37458.9796,37663.7495,20,22,69.74862955450001
PF02525,q2,optimizedtruetree,-16441.4811,100,33082.9623,33221.3185,33433.9011,0,18,29.539169945700007
PF02525,pogofit,optimizedtruetree,-16042.3107,82,32248.6214,32331.6214,32536.3913,0,18,34.426178559899995
PF02525,poisson,inferredtree,-17727.5517,81,35617.1034,35697.6125,35901.3638,28,28,24.346698854299994
PF02525,q3,optimizedtruetree,-16734.0419,82,33632.0838,33715.0838,33919.8537,0,18,32.573812750500004
PF03171,q3,inferredtree,-25523.7644,307,51661.5289,240773.5289,52646.8411,116,90,122.183653087
PF03171,q2,inferredtree,-25250.2785,288,51076.5571,217540.5571,52000.8891,86,66,79.1187049949
PF03171,poisson,inferredtree,-27140.3579,287,54854.7158,220166.7158,55775.8383,112,120,66.54175782809999
PF03171,q1,inferredtree,-24825.0853,288,50226.1705,216690.1705,51150.5025,84,0,78.7422030587
PF03171,q2,optimizedtruetree,-25301.5347,288,51179.0693,217643.0693,52103.4014,0,84,80.4662865194
PF03171,q4,inferredtree,-26161.2230,289,52900.4461,220520.4461,53827.9876,108,118,127.52658503139997
PF03171,q5,inferredtree,-28018.3172,288,56612.6343,223076.6343,57536.9664,120,146,163.17069688139992
PF03171,pogofit,optimizedtruetree,-24604.7976,288,49785.5953,216249.5953,50709.9273,0,84,90.55724651049991
PF03171,q3,optimizedtruetree,-25590.2604,307,51794.5207,240906.5207,52779.8330,0,84,118.69189790749995
PF03171,poisson,optimizedtruetree,-27271.5415,287,55117.0830,220429.0830,56038.2055,0,84,67.24231853979998
PF03171,q5,optimizedtruetree,-28114.2816,288,56804.5631,223268.5631,57728.8952,0,84,164.08245862680002
PF03171,q1,optimizedtruetree,-24863.6535,288,50303.3070,216767.3070,51227.6390,0,84,74.38967223399997
PF03171,pogofit,inferredtree,-24571.5373,288,49719.0745,216183.0745,50643.4065,60,76,94.85096475270008
PF03171,q4,optimizedtruetree,-26234.1890,289,53046.3781,220666.3781,53973.9196,0,84,124.06623115510004
PF03328,q2,optimizedtruetree,-8755.1008,59,17628.2015,17662.4044,17839.8492,0,10,14.526712271300001
PF03328,poisson,optimizedtruetree,-9579.2404,39,19236.4808,19250.2253,19376.3835,0,10,10.7248079101
PF03328,poisson,inferredtree,-9559.3406,39,19196.6813,19210.4258,19336.5840,24,22,10.6642419262
PF03328,q5,inferredtree,-9797.0104,39,19672.0207,19685.7652,19811.9234,14,14,26.331527604399998
PF03328,q4,inferredtree,-9160.7048,58,18437.4097,18470.3135,18645.4701,10,2,16.280804782699995
PF03328,q3,optimizedtruetree,-8930.1159,58,17976.2318,18009.1356,18184.2922,0,10,13.738882480600004
PF03328,q1,inferredtree,-8689.9353,41,17461.8706,17477.1773,17608.9478,10,0,17.026949800599997
PF03328,q2,inferredtree,-8752.5799,59,17623.1598,17657.3627,17834.8075,8,4,14.519088927699995
PF03328,q3,inferredtree,-8925.2507,58,17966.5014,17999.4053,18174.5619,16,10,13.612433709899998
PF03328,pogofit,inferredtree,-8529.5154,40,17139.0308,17153.5441,17282.5207,10,2,16.599622481700003
PF03328,q1,optimizedtruetree,-8696.9269,41,17475.8538,17491.1605,17622.9310,0,10,17.055605106300003
PF03328,q5,optimizedtruetree,-9814.0273,39,19706.0545,19719.7990,19845.9572,0,10,26.736209915099998
PF03328,pogofit,optimizedtruetree,-8536.8707,40,17153.7414,17168.2547,17297.2313,0,10,16.724321824300002
PF03328,q4,optimizedtruetree,-9164.8645,58,18445.7290,18478.6328,18653.7894,0,10,16.3177950232
PF03936,q5,inferredtree,-42330.7664,172,85005.5329,85332.5219,85671.5371,40,64,98.5229255157
PF03936,q4,inferredtree,-40256.8044,172,80857.6088,81184.5978,81523.6131,38,42,51.53156652740006
PF03936,q2,inferredtree,-39418.9839,171,79179.9678,79501.4104,79842.0999,36,50,51.722540458199994
PF03936,q3,inferredtree,-39640.2065,192,79664.4130,80121.8945,80407.8596,62,36,76.39207775389997
PF03936,q2,optimizedtruetree,-39436.2670,171,79214.5341,79535.9767,79876.6662,0,54,51.95072299309997
PF03936,q1,inferredtree,-38891.6410,191,78165.2820,78615.2452,78904.8565,54,0,53.03010811909998
PF03936,poisson,inferredtree,-43256.5461,171,86855.0923,87176.5349,87517.2244,38,68,41.79548624849998
PF03936,q3,optimizedtruetree,-39677.6163,192,79739.2325,80196.7140,80482.6791,0,54,75.6942365169
PF03936,pogofit,optimizedtruetree,-38514.9122,172,77373.8244,77700.8134,78039.8287,0,54,56.263779832899985
PF03936,q5,optimizedtruetree,-42381.6329,172,85107.2659,85434.2549,85773.2701,0,54,99.61323466300007
PF03936,pogofit,inferredtree,-38478.7503,172,77301.5005,77628.4895,77967.5048,50,24,56.624692461599984
PF03936,q1,optimizedtruetree,-38918.3680,191,78218.7361,78668.6993,78958.3106,0,54,52.8479550521
PF03936,poisson,optimizedtruetree,-43323.5885,171,86989.1771,87310.6197,87651.3092,0,54,42.177796324099994
PF03936,q4,optimizedtruetree,-40288.4570,172,80920.9139,81247.9029,81586.9182,0,54,51.134172886999984
PF01697,q4,inferredtree,-29981.6489,127,60217.2977,60311.8093,60745.2340,36,30,58.207198326600015
PF01697,q5,inferredtree,-31904.9832,108,64025.9665,64090.8260,64474.9202,30,22,90.86042207649997
PF01697,q3,inferredtree,-29436.9887,108,59089.9774,59154.8369,59538.9312,28,16,42.49829867519999
PF01697,q3,optimizedtruetree,-29465.9147,108,59147.8295,59212.6890,59596.7832,0,30,42.896469527600026
PF01697,q2,inferredtree,-29035.9622,108,58287.9244,58352.7839,58736.8781,28,10,58.9218559475
PF01697,q1,inferredtree,-28680.9639,127,57615.9278,57710.4394,58143.8641,30,0,49.26307545830001
PF01697,pogofit,optimizedtruetree,-28478.6709,108,57173.3417,57238.2012,57622.2955,0,30,59.12183693890001
PF01697,q2,optimizedtruetree,-29063.3967,108,58342.7933,58407.6528,58791.7470,0,30,58.936415622199995
PF01697,poisson,inferredtree,-31047.6638,107,62309.3277,62372.8222,62754.1244,36,18,33.74688496520001
PF01697,q4,optimizedtruetree,-30009.5348,127,60273.0695,60367.5812,60801.0059,0,30,59.32018166400001
PF01697,poisson,optimizedtruetree,-31119.7921,107,62453.5841,62517.0786,62898.3809,0,30,34.2692963598
PF01697,q5,optimizedtruetree,-31949.9975,108,64115.9949,64180.8544,64564.9487,0,30,92.24374477559999
PF01697,pogofit,inferredtree,-28460.2189,108,57136.4378,57201.2973,57585.3915,24,8,58.593755221000016
PF01697,q1,optimizedtruetree,-28708.1797,127,57670.3594,57764.8710,58198.2957,0,30,49.6851595022
PF02274,q1,inferredtree,-21303.5587,61,42729.1175,42748.3643,42980.4556,10,0,41.527608492599974
PF02274,q3,inferredtree,-21960.0037,61,44042.0073,44061.2541,44293.3454,14,6,45.509092913500005
PF02274,q1,optimizedtruetree,-21305.6071,61,42733.2142,42752.4610,42984.5523,0,10,41.322809127299976
PF02274,pogofit,inferredtree,-21099.3988,60,42318.7977,42337.3764,42566.0155,10,0,36.07379316069999
PF02274,q2,inferredtree,-21655.9252,79,43469.8504,43503.5571,43795.3539,0,10,41.494733545200006
PF02274,q5,optimizedtruetree,-24178.9865,59,48475.9730,48493.8970,48719.0705,0,10,58.82086725440001
PF02274,q4,inferredtree,-22571.1963,60,45262.3925,45280.9712,45509.6104,10,4,29.433185609400002
PF02274,q5,inferredtree,-24157.5891,59,48433.1782,48451.1022,48676.2757,14,12,57.61863830330002
PF02274,poisson,optimizedtruetree,-23426.6272,59,46971.2544,46989.1784,47214.3519,0,10,19.531107117700007
PF02274,q4,optimizedtruetree,-22583.4817,60,45286.9634,45305.5421,45534.1812,0,10,29.649077524899987
PF02274,q2,optimizedtruetree,-21655.9258,79,43469.8517,43503.5584,43795.3552,0,10,41.451583704799994
PF02274,poisson,inferredtree,-23413.6773,59,46945.3547,46963.2787,47188.4522,10,14,19.4394523685
PF02274,q3,optimizedtruetree,-21969.5254,61,44061.0508,44080.2977,44312.3890,0,10,45.11013900459999
PF02274,pogofit,optimizedtruetree,-21104.7413,60,42329.4826,42348.0613,42576.7005,0,10,35.981339929499995
PF00102,pogofit,inferredtree,-48267.4946,220,96974.9891,97397.7717,97879.5119,80,42,94.79209184510002
PF00102,q1,optimizedtruetree,-48645.7328,240,97771.4655,98322.3227,98758.2177,0,70,100.37680490909996
PF00102,q5,optimizedtruetree,-55525.0584,220,111490.1168,111912.8994,112394.6396,0,70,148.62913933590005
PF00102,poisson,optimizedtruetree,-54173.2380,219,108784.4760,109201.6189,109684.8874,0,70,62.1604134332
PF00102,q4,optimizedtruetree,-51237.3742,219,102912.7483,103329.8912,103813.1597,0,70,73.39344442570001
PF00102,poisson,inferredtree,-54036.2426,219,108510.4852,108927.6281,109410.8966,88,72,61.49478593460001
PF00102,q2,optimizedtruetree,-49291.2471,239,99060.4941,99604.1908,100043.1348,0,70,131.22688912859994
PF00102,q1,inferredtree,-48572.3852,240,97624.7704,98175.6275,98611.5225,70,0,98.75069515320003
PF00102,pogofit,optimizedtruetree,-48334.0651,220,97108.1303,97530.9129,98012.6531,0,70,92.71791596749999
PF00102,q3,inferredtree,-50455.8497,239,101389.6994,101933.3961,102372.3401,88,72,78.1613050651
PF00102,q2,inferredtree,-49201.3230,239,98880.6460,99424.3427,99863.2867,84,66,130.45007966209997
PF00102,q3,optimizedtruetree,-50569.8000,239,101617.6000,102161.2967,102600.2407,0,70,78.6450665012
PF00102,q4,inferredtree,-51124.7050,219,102687.4100,103104.5529,103587.8214,94,78,73.36156120999999
PF00102,q5,inferredtree,-55359.8440,220,111159.6880,111582.4706,112064.2108,86,90,145.38346431539998
PF00673,q3,optimizedtruetree,-2949.3660,59,6016.7320,6150.3169,6177.6479,0,6,8.869745025700002
