name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF07732,q5,inferredtree,-24496.9314,257,49507.8629,182119.8629,50246.7886,98,132,90.76482441759998
PF07732,q4,inferredtree,-22582.2648,258,45680.5296,179324.5296,46422.3305,72,98,94.1913002592
PF07732,poisson,inferredtree,-23854.2409,257,48222.4818,180834.4818,48961.4075,78,94,45.3317050144
PF07732,q2,optimizedtruetree,-21566.1855,277,43686.3709,197698.3709,44482.8006,0,76,53.12043507089996
PF07732,q3,optimizedtruetree,-22022.6625,276,44597.3249,197501.3249,45390.8794,0,76,54.046345206500035
PF07732,poisson,optimizedtruetree,-23947.3782,257,48408.7565,181020.7565,49147.6822,0,76,45.8249975993
PF02210,pogofit,optimizedtruetree,-60359.7819,468,121655.5638,560639.5638,123344.7966,0,176,216.4101085874003
PF02210,q5,optimizedtruetree,-67594.5398,468,136125.0795,575109.0795,137814.3123,0,176,372.1803203952999
PF02210,q1,optimizedtruetree,-60927.8154,487,122829.6308,598141.6308,124587.4435,0,176,152.96118742689995
PF02210,pogofit,inferredtree,-60205.6759,468,121347.3518,560331.3518,123036.5846,186,158,212.5696272567
PF02210,q4,optimizedtruetree,-63732.8935,487,128439.7870,603751.7870,130197.5997,0,176,225.85136616469993
PF02210,q2,optimizedtruetree,-61588.4161,468,124112.8323,563096.8323,125802.0651,0,176,257.82112001070004
PF02210,poisson,inferredtree,-67543.7827,467,136021.5653,573133.5653,137707.1887,226,228,148.90485113649999
PF02210,poisson,optimizedtruetree,-67893.7663,467,136721.5327,573833.5327,138407.1560,0,176,153.49158625959996
PF02210,q1,inferredtree,-60774.8502,487,122523.7004,597835.7004,124281.5132,176,0,236.66350204100004
PF02210,q3,inferredtree,-62362.8890,487,125699.7780,601011.7780,127457.5908,192,188,190.52817827009991
PF02210,q2,inferredtree,-61414.5100,468,123765.0200,562749.0200,125454.2528,192,194,232.71442312440018
PF02210,q3,optimizedtruetree,-62522.1126,487,126018.2253,601330.2253,127776.0380,0,176,192.93287370950014
