name,tree,rep,model,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,2,q1,-26569.7596,355,53849.5192,55629.5192,55344.2823,86,9.990305013700002
NP,andersen,2,q2,-27249.1645,354,55206.3291,56963.9514,56696.8815,92,9.053370125000002
NP,andersen,2,q3,-27602.7938,373,55951.5876,58201.6198,57522.1414,90,9.127359958099996
NP,andersen,2,q4,-28190.5004,355,57091.0007,58871.0007,58585.7637,92,13.448550918799993
NP,andersen,2,q5,-31574.3829,353,63854.7658,65590.3491,65341.1076,86,13.13040774129999
NP,dosreis,2,poisson,-66203.6506,545,133497.3011,728637.3011,135792.0782,24,20.280091777100036
NP,dosreis,2,q1,-60488.2333,546,122068.4665,719392.4665,124367.4542,26,21.110375181699983
NP,dosreis,2,q2,-62335.2025,565,125800.4050,765380.4050,128179.3941,26,26.94290397000001
NP,dosreis,2,q3,-63274.8689,546,127641.7378,724965.7378,129940.7254,24,20.644213791600006
NP,dosreis,2,q4,-64640.4432,545,130370.8865,725510.8865,132665.6635,24,20.445309120300003
NP,dosreis,2,q5,-72861.7616,546,146815.5233,744139.5233,149114.5109,36,27.371852329000024
NP,greenalga,2,poisson,-11033.8749,43,22153.7497,22162.0845,22334.8055,2,3.474603555200001
NP,greenalga,2,q1,-10184.3848,63,20494.7696,20513.3502,20760.0374,0,3.8702454735000003
NP,greenalga,2,q2,-10427.7690,63,20981.5380,21000.1187,21246.8059,0,4.6624947157
NP,greenalga,2,q3,-10601.0726,62,21326.1451,21344.1037,21587.2023,0,3.8233344995999987
NP,greenalga,2,q4,-10828.5104,45,21747.0209,21756.1802,21936.4979,0,3.982339006000001
NP,greenalga,2,q5,-12161.6875,43,24409.3750,24417.7098,24590.4308,6,5.246870076599999
NP,opisthokonta,2,poisson,-56009.0806,137,112292.1612,112397.1945,112869.0134,8,24.850272591500012
NP,opisthokonta,2,q1,-51542.4706,157,103398.9412,103544.8588,104060.0054,2,29.3494419248
NP,opisthokonta,2,q2,-52689.3902,157,105692.7804,105838.6980,106353.8446,4,34.53320387730001
NP,opisthokonta,2,q3,-54068.4412,138,108412.8823,108519.7458,108993.9451,0,33.89142265210001
NP,opisthokonta,2,q4,-54863.1040,139,110004.2081,110112.9232,110589.4815,4,44.949963407799984
NP,opisthokonta,2,q5,-60903.8610,138,122083.7219,122190.5854,122664.7847,10,45.42426215760002
NP,prum,2,poisson,-29908.6666,397,60611.3332,63771.4532,62282.9414,78,7.952411048199995
NP,prum,2,q1,-27429.2668,417,55692.5336,60050.1836,57448.3538,78,9.893508907800005
NP,prum,2,q2,-28233.9289,417,57301.8578,61659.5078,59057.6781,86,10.499922336499992
NP,prum,2,q3,-28782.1719,417,58398.3439,62755.9939,60154.1641,76,8.190565253900004
NP,prum,2,q4,-29175.7621,398,59147.5242,62355.6454,60823.3430,84,9.377286474600005
NP,prum,2,q5,-32962.6964,397,66719.3928,69879.5128,68391.0010,80,10.725872450400004
NP,ruhfel,2,poisson,-88431.8986,695,178253.7972,1145693.7972,181180.1642,118,31.981539131799995
NP,ruhfel,2,q1,-81551.0809,697,164496.1618,1137508.1618,167430.9500,108,34.77522666289997
NP,ruhfel,2,q2,-84028.8285,715,169487.6570,1193367.6570,172498.2361,110,42.380548991899985
NP,ruhfel,2,q3,-85264.0357,715,171958.0714,1195838.0714,174968.6505,110,42.770350840300004
NP,ruhfel,2,q4,-86968.6127,697,175331.2255,1148343.2255,178266.0137,122,50.74951379980001
NP,ruhfel,2,q5,-97148.5113,696,195689.0226,1165913.0226,198619.6003,120,51.2131257548
NP,salichos,2,poisson,-21137.9938,43,42361.9876,42370.3224,42543.0434,6,9.8661882341
NP,salichos,2,q1,-19779.5079,63,39685.0158,39703.5964,39950.2836,4,12.720299265
NP,salichos,2,q2,-20187.1853,44,40462.3707,40471.1124,40647.6371,4,13.003976044600003
NP,salichos,2,q3,-20441.7709,63,41009.5419,41028.1225,41274.8097,6,12.4545542475
NP,salichos,2,q4,-20765.0968,44,41618.1937,41626.9354,41803.4601,4,14.4539498662
NP,salichos,2,q5,-22806.1263,43,45698.2525,45706.5873,45879.3083,12,20.069415131099998
NP,rayfinned,2,poisson,-53125.0242,607,107464.0485,845576.0485,110019.8827,70,15.381098932600002
NP,rayfinned,2,q1,-48630.6298,608,98477.2596,839021.2596,101037.3045,72,16.096076726599993
NP,rayfinned,2,q2,-50234.1598,608,101684.3196,842228.3196,104244.3645,72,19.4851921294
NP,rayfinned,2,q3,-51048.0082,627,103350.0165,890862.0165,105990.0627,68,17.07482845600001
NP,rayfinned,2,q4,-51962.0189,608,105140.0378,845684.0378,107700.0827,62,22.854819088100026
NP,rayfinned,2,q5,-58343.6338,607,117901.2677,856013.2677,120457.1019,82,20.02765326569997
NP,spiralia,2,poisson,-35413.5790,203,71233.1580,71514.8723,72087.9098,10,11.445170367700005
NP,spiralia,2,q1,-32105.3906,204,64618.7811,64904.2419,65477.7435,6,12.313165549699995
NP,spiralia,2,q2,-32982.5530,223,66411.1061,66775.7192,67350.0699,6,16.811056923599995
NP,spiralia,2,q3,-33695.6213,203,67797.2425,68078.9568,68651.9943,8,11.482436504400004
NP,spiralia,2,q4,-34288.7624,203,68983.5247,69265.2390,69838.2766,10,11.787059285900007
NP,spiralia,2,q5,-38575.4390,204,77558.8781,77844.3388,78417.8405,12,15.5733096998
NP,andersen,3,poisson,-28363.6733,351,57429.3465,59121.8397,58907.2671,80,8.838424757199997
NP,andersen,3,q1,-26231.1222,352,53166.2445,54880.1203,54648.3757,90,9.304194732
NP,andersen,3,q2,-26885.9880,371,54513.9759,56704.6426,56076.1086,90,9.128203951300005
NP,andersen,3,q3,-27281.4661,372,55306.9322,57527.0282,56873.2754,88,9.716826875799995
NP,andersen,3,q4,-27814.3455,352,56332.6911,58046.5669,57814.8223,94,9.4765040975
NP,andersen,3,q5,-30869.5180,351,62441.0360,64133.5292,63918.9567,94,12.96690391079999
NP,dosreis,3,poisson,-69371.8271,545,139833.6542,734973.6542,142128.4312,18,21.50356457940004
NP,dosreis,3,q1,-63148.0282,546,127388.0563,724712.0563,129687.0439,18,22.58067786279997
NP,dosreis,3,q2,-65157.5144,546,131407.0288,728731.0288,133706.0165,20,33.58519578190001
NP,dosreis,3,q3,-66364.5856,546,133821.1713,731145.1713,136120.1589,24,23.159286856500028
NP,dosreis,3,q4,-67417.8935,564,135963.7869,773283.7869,138338.5654,22,21.984151641999983
NP,dosreis,3,q5,-75784.1238,546,152660.2475,749984.2475,154959.2352,24,28.680821955200024
