name,model,logl,k,AIC,AICc,BIC,rf,treelength
PF04151,m3,-25750.0204,321,52142.0408,258866.0408,53187.6968,112,124.67580908990004
PF04151,m2,-25577.1695,302,51758.3390,234770.3390,52742.1026,132,116.52972760959997
PF04151,m1,-25224.9155,321,51091.8310,257815.8310,52137.4870,0,126.67748610660013
PF04151,poisson,-27827.9750,301,56257.9499,238061.9499,57238.4560,170,89.94414750940008
PF04151,GTR20,-25027.6998,509,51073.3996,570253.3996,52731.4648,144,114.1981642191
PF07452,poisson,-6940.3407,51,13982.6815,14036.8039,14136.2239,8,16.348528814300003
PF07452,GTR20,-6268.4830,259,13054.9660,147734.9660,13834.7205,12,19.5767449536
PF07452,m2,-6384.3073,71,12910.6145,13041.6915,13124.3696,8,23.536443554399995
PF07452,m3,-6485.6787,51,13073.3574,13127.4799,13226.8998,12,20.936628212800002
PF07452,m1,-6373.6813,52,12851.3625,12908.1873,13007.9156,0,19.9227953597
PF07452,m5,-7044.2369,51,14190.4737,14244.5962,14344.0161,12,42.9821042536
PF07452,m4,-6597.3355,70,13334.6710,13460.4938,13545.4154,12,28.836982086899997
PF00107,m1,-33291.9368,212,67007.8736,97111.8736,67723.4327,0,92.26051472469999
PF00107,m2,-33836.3131,231,68134.6263,175318.6263,68914.3156,76,108.86472817329998
PF00107,m3,-34311.6927,232,69087.3854,177199.3854,69870.4500,94,142.95195570860008
PF00107,m5,-37357.6976,212,75139.3951,105243.3951,75854.9542,118,235.9721830325
PF00107,m4,-35234.8228,232,70933.6456,179045.6456,71716.7102,126,155.61250861680003
PF00107,GTR20,-33275.7289,419,67389.4578,419349.4578,68803.6995,94,92.73394445879994
PF00107,poisson,-36362.3894,211,73146.7788,95512.7788,73858.9626,116,75.62715536110001
PF01243,m1,-24571.3970,290,49722.7941,218502.7941,50616.4013,0,116.91801409989999
PF01243,m2,-24958.2812,289,50494.5623,218114.5623,51385.0882,116,87.842828544
PF01243,m3,-25268.2231,289,51114.4463,218734.4463,52004.9722,110,97.10668360199996
PF01243,m5,-27839.4637,290,56258.9274,225038.9274,57152.5347,140,215.56090529630004
PF01243,m4,-25901.9418,309,52421.8836,244001.8836,53374.0375,104,130.09267335579992
PF01243,GTR20,-24571.9770,497,50137.9540,545149.9540,51669.4120,120,91.78113573399997
PF01243,poisson,-26968.0411,289,54514.0822,222134.0822,55404.6081,154,79.64496987650003
PF00516,GTR20,-12434.3333,249,25366.6667,25716.3858,26463.9798,4,6.0049301680000005
PF00516,m1,-12324.2317,42,24732.4634,24738.8791,24917.5524,0,15.439459652500002
PF00516,poisson,-13832.1929,41,27746.3858,27752.4922,27927.0679,8,5.3832151899
PF00516,m3,-12734.7320,61,25591.4640,25605.3685,25860.2837,4,6.603143905100001
PF00516,m2,-12503.5159,42,25091.0317,25097.4474,25276.1207,4,15.9670522136
PF00516,m4,-13087.6065,41,26257.2130,26263.3193,26437.8950,0,7.290398805000002
PF00516,m5,-14520.3456,41,29122.6912,29128.7976,29303.3733,10,9.585903857200002
PF04290,m1,-8065.7906,72,16275.5811,16365.4273,16509.3668,0,41.5290903726
PF04290,m3,-8231.5246,71,16605.0491,16691.6932,16835.5878,16,28.386738302900003
PF04290,m2,-8221.6653,52,16547.3306,16587.5641,16716.1758,18,27.2731244134
PF04290,m4,-8407.2443,52,16918.4887,16958.7222,17087.3339,16,44.834582170400004
PF04290,m5,-8938.6944,51,17979.3888,18017.8235,18144.9870,24,30.54129126059999
PF04290,GTR20,-7975.1956,259,16468.3912,151148.3912,17309.3705,20,23.806068254399992
PF04290,poisson,-8946.3194,51,17994.6388,18033.0735,18160.2370,30,18.982741239299997
PF07729,m1,-27218.6744,229,54895.3488,160235.3488,55575.4360,0,94.95270800839994
PF07729,m2,-27729.6873,230,55919.3746,162179.3746,56602.4317,108,140.75580239100003
PF07729,GTR20,-27370.1478,417,55574.2957,404186.2957,56812.7078,120,80.89665771719999
PF07729,m3,-28486.1016,209,57390.2032,145170.2032,58010.8941,110,75.80845253820006
PF07729,m5,-32239.2954,210,64898.5907,153518.5907,65522.2515,134,223.65880383739986
PF07729,m4,-29272.8765,209,58963.7529,146743.7529,59584.4439,114,81.57696133949996
PF07729,poisson,-30202.7509,209,60823.5018,148603.5018,61444.1928,128,68.8257339444
PF01551,m1,-44419.3176,558,89954.6352,713798.6352,91691.1244,0,175.13323769690007
PF01551,m3,-46445.6803,578,94047.3607,763371.3607,95846.0896,244,293.0685956647
PF01551,m2,-45520.4494,577,92194.8987,759206.8987,93990.5157,226,173.81977942420005
PF01551,m4,-47885.9598,578,96927.9195,766251.9195,98726.6485,298,262.2255097624999
PF01551,m5,-52159.5663,558,105435.1326,729279.1326,107171.6218,310,251.36640613669996
PF01551,poisson,-50084.3620,557,101282.7240,722894.7240,103016.1012,314,122.83973873369996
PF01551,GTR20,-44733.0460,765,90996.0920,1262976.0920,93376.7626,272,144.78479188980018
PF02627,m5,-36616.1930,436,74104.3860,455168.3860,75257.3404,226,258.4247373247001
PF02627,m4,-33983.6903,437,68841.3805,451653.3805,69996.9794,170,237.71735969949995
PF02627,m2,-32522.2114,455,65954.4228,480914.4228,67157.6207,142,136.5528375359999
PF02627,m3,-33016.6335,436,66905.2669,447969.2669,68058.2213,180,131.55881319629992
PF02627,m1,-32014.0226,455,64938.0452,479898.0452,66141.2430,0,138.61903640179995
PF02627,poisson,-35628.6470,435,72127.2940,451447.2940,73277.6040,242,107.8734823158
PF02627,GTR20,-32030.3108,643,65346.6216,893530.6216,67046.9649,182,127.80877403209992
PF04542,poisson,-34521.9766,517,70077.9532,605689.9532,71429.9705,322,127.9328171400001
PF04542,GTR20,-31010.2619,725,63470.5239,1116170.5239,65366.4863,266,154.13159586120008
PF04542,m4,-32640.2000,518,66316.4000,604000.4000,67671.0325,296,178.472910377
PF04542,m5,-35261.9153,518,71559.8306,609243.8306,72914.4630,320,338.61161693849994
PF04542,m3,-31782.9937,537,64639.9874,642451.9874,66044.3071,272,162.15716019940007
PF04542,m2,-31485.5711,536,64043.1421,639707.1421,65444.8467,250,144.02748111940002
PF04542,m1,-30793.4939,537,62660.9878,640472.9878,64065.3075,0,184.07261659300005
PF05193,GTR20,-71341.3944,567,143816.7889,787928.7889,146092.5654,80,149.8762758379999
PF05193,m5,-78441.3080,360,157602.6159,163017.6159,159047.5534,160,393.38919771710005
PF05193,m4,-73993.9133,360,148707.8267,154122.8267,150152.7641,104,201.00582562499997
PF05193,m2,-71821.9702,380,144403.9404,154745.3689,145929.1521,88,281.60424424170014
PF05193,poisson,-77003.0379,359,154724.0757,159999.1778,156164.9995,134,127.53978652030008
PF05193,m3,-72536.5075,359,145791.0150,151066.1170,147231.9387,106,164.52456849509994
PF05193,m1,-71019.4600,360,142758.9201,148173.9201,144203.8575,0,183.4504235509
PF00690,GTR20,-20551.0072,509,42120.0145,561300.0145,43480.4844,132,80.9792674706
PF00690,m1,-20193.4574,302,40990.9148,224002.9148,41798.1091,0,114.23022620209991
PF00690,m2,-20580.6079,302,41765.2159,224777.2159,42572.4102,104,100.0296726768999
PF00690,m3,-20941.8328,320,42523.6657,247963.6657,43378.9709,124,87.40133324680001
PF00690,m5,-23264.7897,302,47133.5793,230145.5793,47940.7736,176,171.56645390959997
PF00690,m4,-21439.4465,303,43484.8929,227708.8929,44294.7600,168,231.46366753580008
PF00690,poisson,-22728.9894,301,46059.9789,227863.9789,46864.5004,164,70.16127839299998
PF07714,m5,-70162.9251,291,140907.8501,141610.0981,142153.4453,68,115.62589562290002
PF07714,m4,-63192.0746,292,126968.1491,127678.1574,128218.0247,50,256.9117449734
PF07714,m1,-58635.9826,293,117857.9651,118575.8151,119112.1211,0,102.05684538680002
PF07714,m2,-59661.8972,312,119947.7945,120831.5592,121283.2780,40,121.20372038139993
PF07714,m3,-62144.1417,291,124870.2835,125572.5314,126115.8787,42,63.630118839499985
PF07714,poisson,-67888.6042,291,136359.2085,137061.4564,137604.8036,72,58.134692696299986
PF07714,GTR20,-61150.4338,499,123298.8676,137975.3382,125434.7851,66,63.17773390999996
PF02931,m1,-38164.7675,236,76801.5350,78149.2941,77690.8588,0,65.71639610199998
PF02931,GTR20,-38777.8073,423,78401.6145,437105.6145,79995.6143,32,58.88852786470003
PF02931,m3,-39580.3720,215,79590.7440,80483.8209,80400.9330,32,62.892153047900074
PF02931,m2,-38681.9321,236,77835.8643,79183.6233,78725.1880,40,82.85304141369994
PF02931,m4,-40229.5706,216,80891.1412,81801.2772,81705.0986,28,82.15905029329998
PF02931,m5,-43568.0150,215,87566.0301,88459.1070,88376.2191,52,109.65229032200003
PF02931,poisson,-43079.5052,215,86589.0104,87482.0873,87399.1994,74,50.910617988500015
PF00754,m5,-52596.1200,370,105932.2399,380472.2399,107187.8821,172,303.0468344998
PF00754,m4,-49487.0014,389,99752.0029,403172.0029,101072.1240,162,177.69744992040003
PF00754,m2,-47886.7389,370,96513.4778,371053.4778,97769.1200,142,160.6205390101999
PF00754,poisson,-51623.9833,369,103985.9667,377045.9667,105238.2152,218,114.51887149070001
PF00754,m3,-48541.9846,388,97859.9692,399723.9692,99176.6967,130,147.36069491069983
PF00754,m1,-47319.7638,370,95379.5277,369919.5277,96635.1699,0,143.26777946799996
PF00754,GTR20,-47620.1891,577,96394.3781,763406.3781,98352.5012,166,132.2928735583
PF02950,m2,-12257.6464,259,25033.2927,159713.2927,25748.6958,72,101.90265741100005
PF02950,m3,-12805.2655,259,26128.5309,160808.5309,26843.9340,86,45.183895255800024
PF02950,m1,-12007.2921,241,24496.5841,141140.5841,25162.2681,0,68.54535535169998
PF02950,GTR20,-12183.4186,447,25260.8371,425772.8371,26495.5289,116,46.41559260470002
PF02950,m5,-15095.7707,239,30669.5413,145389.5413,31329.7009,130,68.06879772670001
PF02950,m4,-13153.4377,259,26824.8754,161504.8754,27540.2784,132,59.016024643600005
PF02950,poisson,-13289.5232,239,27057.0465,141777.0465,27717.2060,96,41.42144818320004
PF06863,GTR20,-8206.4150,277,16966.8301,170978.8301,17787.5380,10,23.840776495500005
PF06863,m4,-8664.0509,88,17504.1018,17794.1759,17764.8321,20,30.380903710400002
PF06863,m5,-9238.0952,69,18614.1904,18746.5191,18818.6267,22,53.000937103700004
PF06863,m3,-8533.7662,69,17205.5325,17337.8613,17409.9688,14,27.783067968400005
PF06863,m2,-8381.5920,89,16941.1839,17243.4481,17204.8771,16,34.008051417999994
PF06863,m1,-8302.7617,70,16745.5234,16883.5790,16952.9226,0,26.9537816904
PF06863,poisson,-9083.5129,69,18305.0258,18437.3545,18509.4621,22,20.5626492378
