model1,model2,r
DCMut,Blosum62,0.7932647695858328
DCMut,mtMet,0.8184008138240635
DCMut,mtVer,0.7560375220213849
DCMut,mtInv,0.87586740811757
PMB,HIVb,0.7126515786427985
PMB,HIVw,0.5639725238165552
PMB,JTTDCMut,0.8369934577287593
PMB,FLU,0.7928590724398064
PMB,Blosum62,0.9701777578707729
PMB,mtMet,0.7634883662713986
PMB,mtVer,0.6842971710009276
PMB,mtInv,0.8264517966026836
HIVb,HIVw,0.8537481625383037
HIVb,JTTDCMut,0.9070691106854248
HIVb,FLU,0.8684732728658326
HIVb,Blosum62,0.7026986928154362
HIVb,mtMet,0.7999518138977348
HIVb,mtVer,0.823294273698263
HIVb,mtInv,0.7512902574633303
HIVw,JTTDCMut,0.7971177762554713
HIVw,FLU,0.8388175033923035
HIVw,Blosum62,0.5848456804960994
HIVw,mtMet,0.6816464006292628
HIVw,mtVer,0.7441283106714212
HIVw,mtInv,0.6165978800179517
JTTDCMut,FLU,0.8859610215189058
JTTDCMut,Blosum62,0.8293869438704196
JTTDCMut,mtMet,0.9014658714751291
JTTDCMut,mtVer,0.8750696303512865
JTTDCMut,mtInv,0.9105154581922889
FLU,Blosum62,0.7769959360672177
FLU,mtMet,0.7825398515725595
FLU,mtVer,0.7569184594445617
FLU,mtInv,0.7620443452029434
Blosum62,mtMet,0.7454683278731364
Blosum62,mtVer,0.6829805767638133
Blosum62,mtInv,0.803162102548219
mtMet,mtVer,0.9402459714206877
mtMet,mtInv,0.959697568863968
mtVer,mtInv,0.8677188453971499
