name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,ruhfel,1,poisson,inferredtree,-89923.4964,693,181232.9928,1143116.9928,184150.9387,126,32.94378102609998
NP,ruhfel,1,r1,inferredtree,-82616.0789,713,166658.1579,1184822.1579,169660.3157,118,35.25269223670001
NP,ruhfel,1,r2,inferredtree,-87075.6596,712,175575.3191,1190887.3191,178573.2664,124,36.91691318939999
NP,ruhfel,1,r3,inferredtree,-91513.0817,712,184450.1634,1199762.1634,187448.1106,122,44.46668447369996
NP,ruhfel,1,r4,inferredtree,-95557.8286,712,192539.6572,1207851.6572,195537.6045,136,45.040449113699964
NP,ruhfel,1,r5,inferredtree,-98567.6270,693,198521.2540,1160405.2540,201439.1998,144,52.425879009700026
NP,ruhfel,1,poisson,optimizedtruetree,-89951.3823,693,181288.7647,1143172.7647,184206.7105,36,33.0374713458
NP,ruhfel,1,r1,optimizedtruetree,-82647.5271,713,166721.0542,1184885.0542,169723.2121,36,35.141904142200005
NP,ruhfel,1,r2,optimizedtruetree,-87118.3591,712,175660.7181,1190972.7181,178658.6654,36,36.89548008899998
NP,ruhfel,1,r3,optimizedtruetree,-91565.9035,712,184555.8071,1199867.8071,187553.7543,36,44.46260000060002
NP,ruhfel,1,r4,optimizedtruetree,-95628.3860,712,192680.7719,1207992.7719,195678.7192,36,44.98891011109999
NP,ruhfel,1,r5,optimizedtruetree,-98658.8986,693,198703.7973,1160587.7973,201621.7431,36,52.263276101600006
NP,salichos,1,poisson,inferredtree,-20567.5140,43,41221.0279,41229.3627,41402.0837,6,9.465620878800003
NP,salichos,1,r1,inferredtree,-19306.8121,63,38739.6243,38758.2049,39004.8921,6,11.865561338499997
NP,salichos,1,r2,inferredtree,-19958.7261,63,40043.4523,40062.0329,40308.7201,8,12.442725027099998
NP,salichos,1,r3,inferredtree,-20600.3533,62,41324.7067,41342.6653,41585.7639,2,15.542939346800003
NP,salichos,1,r4,inferredtree,-21338.4876,44,42764.9752,42773.7169,42950.2416,12,34.9949808212
NP,salichos,1,r5,inferredtree,-22046.1224,43,44178.2447,44186.5795,44359.3005,8,19.1542471756
NP,salichos,1,poisson,optimizedtruetree,-20586.2805,43,41258.5610,41266.8958,41439.6168,0,9.528027687699996
NP,salichos,1,r1,optimizedtruetree,-19315.8709,63,38757.7417,38776.3224,39023.0095,0,11.929377939999998
NP,salichos,1,r2,optimizedtruetree,-19969.5804,63,40065.1607,40083.7414,40330.4285,0,12.556691496900001
NP,salichos,1,r3,optimizedtruetree,-20611.4764,62,41346.9529,41364.9115,41608.0101,0,15.687128579499994
NP,salichos,1,r4,optimizedtruetree,-21353.8007,44,42795.6013,42804.3430,42980.8677,0,35.47311965990001
NP,salichos,1,r5,optimizedtruetree,-22074.0676,43,44234.1352,44242.4700,44415.1911,0,19.471742601800006
NP,rayfinned,1,poisson,inferredtree,-52809.0185,607,106832.0370,844944.0370,109387.8712,84,15.173700723400016
NP,rayfinned,1,r1,inferredtree,-48190.5948,608,97597.1897,838141.1897,100157.2345,88,17.04114489099999
