name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,ruhfel,1,m1,inferredtree,-82616.0789,713,166658.1579,1184822.1579,169660.3157,118,35.25269223670001
NP,ruhfel,1,m2,inferredtree,-85020.5584,713,171467.1169,1189631.1169,174469.2747,132,44.04044532839998
NP,ruhfel,1,m3,inferredtree,-86815.0538,712,175054.1076,1190366.1076,178052.0549,124,38.006971722699966
NP,ruhfel,1,m4,inferredtree,-87994.9267,694,177377.8533,1142037.8533,180300.0098,126,53.45803125880002
NP,ruhfel,1,m5,inferredtree,-98567.6270,693,198521.2540,1160405.2540,201439.1998,144,52.425879009700026
NP,ruhfel,1,poisson,inferredtree,-89923.4964,693,181232.9928,1143116.9928,184150.9387,126,32.94378102609998
NP,ruhfel,1,m1,optimizedtruetree,-82647.5271,713,166721.0542,1184885.0542,169723.2121,36,35.141904142200005
NP,ruhfel,1,m2,optimizedtruetree,-85055.1064,713,171536.2127,1189700.2127,174538.3706,36,43.533960771600015
NP,ruhfel,1,m3,optimizedtruetree,-86854.1068,712,175132.2137,1190444.2137,178130.1609,36,38.01742259640002
NP,ruhfel,1,m4,optimizedtruetree,-88043.5224,694,177475.0449,1142135.0449,180397.2013,36,53.512807524
NP,ruhfel,1,m5,optimizedtruetree,-98658.8986,693,198703.7973,1160587.7973,201621.7431,36,52.263276101600006
NP,ruhfel,1,poisson,optimizedtruetree,-89951.3823,693,181288.7647,1143172.7647,184206.7105,36,33.0374713458
NP,salichos,1,m1,inferredtree,-19306.8121,63,38739.6243,38758.2049,39004.8921,6,11.865561338499997
NP,salichos,1,m2,inferredtree,-19660.2568,45,39410.5137,39419.6730,39599.9907,6,10.925108941000003
NP,salichos,1,m3,inferredtree,-19916.4161,63,39958.8322,39977.4129,40224.1000,6,11.410777120500006
NP,salichos,1,m4,inferredtree,-20376.4069,44,40840.8137,40849.5554,41026.0801,10,13.3742998666
NP,salichos,1,m5,inferredtree,-22046.1224,43,44178.2447,44186.5795,44359.3005,8,19.1542471756
NP,salichos,1,poisson,inferredtree,-20567.5140,43,41221.0279,41229.3627,41402.0837,6,9.465620878800003
NP,salichos,1,m1,optimizedtruetree,-19315.8709,63,38757.7417,38776.3224,39023.0095,0,11.929377939999998
NP,salichos,1,m2,optimizedtruetree,-19679.1974,45,39448.3947,39457.5540,39637.8717,0,11.035321133499998
NP,salichos,1,m3,optimizedtruetree,-19933.6632,63,39993.3264,40011.9070,40258.5942,0,11.488458953299997
NP,salichos,1,m4,optimizedtruetree,-20387.5115,44,40863.0230,40871.7648,41048.2894,0,13.4048945068
NP,salichos,1,m5,optimizedtruetree,-22074.0676,43,44234.1352,44242.4700,44415.1911,0,19.471742601800006
NP,salichos,1,poisson,optimizedtruetree,-20586.2805,43,41258.5610,41266.8958,41439.6168,0,9.528027687699996
NP,rayfinned,1,m1,inferredtree,-48190.5948,608,97597.1897,838141.1897,100157.2345,88,17.04114489099999
NP,rayfinned,1,m2,inferredtree,-49422.2870,608,100060.5739,840604.5739,102620.6188,86,17.65547459489999
NP,rayfinned,1,m3,inferredtree,-50271.7883,626,101795.5765,886799.5765,104431.4122,86,15.400713668099996
NP,rayfinned,1,m4,inferredtree,-51072.6025,607,103359.2050,841471.2050,105915.0392,84,15.739597528199994
NP,rayfinned,1,m5,inferredtree,-57671.8349,607,116557.6697,854669.6697,119113.5040,88,20.32414272979999
NP,rayfinned,1,poisson,inferredtree,-52809.0185,607,106832.0370,844944.0370,109387.8712,84,15.173700723400016
NP,rayfinned,1,m1,optimizedtruetree,-48217.2384,608,97650.4768,838194.4768,100210.5216,0,17.06372112480001
NP,rayfinned,1,m2,optimizedtruetree,-49453.5963,608,100123.1926,840667.1926,102683.2374,0,17.63186025069998
NP,rayfinned,1,m3,optimizedtruetree,-50303.8710,626,101859.7420,886863.7420,104495.5776,0,15.425530642700004
NP,rayfinned,1,m4,optimizedtruetree,-51110.3975,607,103434.7950,841546.7950,105990.6293,0,15.767856810700003
NP,rayfinned,1,m5,optimizedtruetree,-57751.6714,607,116717.3427,854829.3427,119273.1770,0,20.367346517600005
NP,rayfinned,1,poisson,optimizedtruetree,-52834.2513,607,106882.5027,844994.5027,109438.3369,0,15.195243518199986
NP,spiralia,1,m1,inferredtree,-33410.2257,205,67230.4513,67519.6979,68093.6243,6,13.544674981799988
NP,spiralia,1,m2,inferredtree,-34273.9646,203,68953.9291,69235.6434,69808.6810,4,11.999616862499995
NP,spiralia,1,m3,inferredtree,-35046.1787,204,70500.3574,70785.8182,71359.3198,6,14.2751500372
NP,spiralia,1,m4,inferredtree,-35437.0853,223,71320.1706,71684.7837,72259.1344,6,12.3119826214
NP,spiralia,1,m5,inferredtree,-40335.0436,203,81076.0873,81357.8016,81930.8391,14,16.965022516300007
NP,spiralia,1,poisson,inferredtree,-36602.1459,203,73610.2919,73892.0062,74465.0437,2,11.976257219099997
NP,spiralia,1,m1,optimizedtruetree,-33418.1136,205,67246.2273,67535.4738,68109.4003,0,13.529513870699999
NP,spiralia,1,m2,optimizedtruetree,-34277.4982,203,68960.9964,69242.7107,69815.7482,0,11.999259841099997
NP,spiralia,1,m3,optimizedtruetree,-35053.8684,204,70515.7367,70801.1975,71374.6992,0,14.276970608799996
NP,spiralia,1,m4,optimizedtruetree,-35444.0087,223,71334.0173,71698.6305,72272.9811,0,12.3121884766
NP,spiralia,1,m5,optimizedtruetree,-40360.2754,203,81126.5509,81408.2652,81981.3027,0,16.949748422300004
NP,spiralia,1,poisson,optimizedtruetree,-36607.9332,203,73621.8663,73903.5806,74476.6181,0,11.980802232699999
NP,andersen,2,m1,inferredtree,-26569.7596,355,53849.5192,55629.5192,55344.2823,86,9.990305013700002
NP,andersen,2,m2,inferredtree,-27249.1645,354,55206.3291,56963.9514,56696.8815,92,9.053370125000002
NP,andersen,2,m3,inferredtree,-27602.7938,373,55951.5876,58201.6198,57522.1414,90,9.127359958099996
NP,andersen,2,m4,inferredtree,-28190.5004,355,57091.0007,58871.0007,58585.7637,92,13.448550918799993
NP,andersen,2,m5,inferredtree,-31574.3829,353,63854.7658,65590.3491,65341.1076,86,13.13040774129999
NP,andersen,2,poisson,inferredtree,-28669.7578,353,58045.5156,59781.0990,59531.8575,82,8.860981337899998
NP,andersen,2,m1,optimizedtruetree,-26610.3173,355,53930.6346,55710.6346,55425.3976,2,9.999890953000007
NP,andersen,2,m2,optimizedtruetree,-27292.8330,354,55293.6660,57051.2884,56784.2185,2,9.085045354000002
NP,andersen,2,m3,optimizedtruetree,-27652.3889,373,56050.7779,58300.8101,57621.3317,2,9.161765543500005
NP,andersen,2,m4,optimizedtruetree,-28242.5673,355,57195.1345,58975.1345,58689.8975,2,13.488176462900004
NP,andersen,2,m5,optimizedtruetree,-31655.1617,353,64016.3234,65751.9068,65502.6653,2,13.160044201500003
NP,andersen,2,poisson,optimizedtruetree,-28718.5051,353,58143.0102,59878.5935,59629.3520,2,8.893334599699998
NP,dosreis,2,m1,inferredtree,-60488.2333,546,122068.4665,719392.4665,124367.4542,26,21.110375181699983
NP,dosreis,2,m2,inferredtree,-62335.2025,565,125800.4050,765380.4050,128179.3941,26,26.94290397000001
NP,dosreis,2,m3,inferredtree,-63274.8689,546,127641.7378,724965.7378,129940.7254,24,20.644213791600006
NP,dosreis,2,m4,inferredtree,-64640.4432,545,130370.8865,725510.8865,132665.6635,24,20.445309120300003
NP,dosreis,2,m5,inferredtree,-72861.7616,546,146815.5233,744139.5233,149114.5109,36,27.371852329000024
NP,dosreis,2,poisson,inferredtree,-66203.6506,545,133497.3011,728637.3011,135792.0782,24,20.280091777100036
NP,dosreis,2,m1,optimizedtruetree,-60494.6212,546,122081.2425,719405.2425,124380.2301,0,21.09071690869997
NP,dosreis,2,m2,optimizedtruetree,-62345.7466,565,125821.4932,765401.4932,128200.4823,0,26.95553940340002
NP,dosreis,2,m3,optimizedtruetree,-63281.8486,546,127655.6972,724979.6972,129954.6848,0,20.650557861900015
NP,dosreis,2,m4,optimizedtruetree,-64647.0239,545,130384.0478,725524.0478,132678.8248,0,20.45123720510001
NP,dosreis,2,m5,optimizedtruetree,-72899.6230,546,146891.2460,744215.2460,149190.2336,0,27.376196135000026
NP,dosreis,2,poisson,optimizedtruetree,-66211.6646,545,133513.3292,728653.3292,135808.1062,0,20.286225487000017
NP,opisthokonta,2,m1,inferredtree,-51542.4706,157,103398.9412,103544.8588,104060.0054,2,29.3494419248
NP,opisthokonta,2,m2,inferredtree,-52689.3902,157,105692.7804,105838.6980,106353.8446,4,34.53320387730001
NP,opisthokonta,2,m3,inferredtree,-54068.4412,138,108412.8823,108519.7458,108993.9451,0,33.89142265210001
NP,opisthokonta,2,m4,inferredtree,-54863.1040,139,110004.2081,110112.9232,110589.4815,4,44.949963407799984
NP,opisthokonta,2,m5,inferredtree,-60903.8610,138,122083.7219,122190.5854,122664.7847,10,45.42426215760002
NP,opisthokonta,2,poisson,inferredtree,-56009.0806,137,112292.1612,112397.1945,112869.0134,8,24.850272591500012
NP,opisthokonta,2,m1,optimizedtruetree,-51542.5320,157,103399.0640,103544.9816,104060.1282,0,29.33161835240001
NP,opisthokonta,2,m2,optimizedtruetree,-52694.2106,157,105702.4212,105848.3389,106363.4854,0,34.54696027790002
NP,opisthokonta,2,m3,optimizedtruetree,-54068.4482,138,108412.8964,108519.7600,108993.9593,0,33.72757724769998
NP,opisthokonta,2,m4,optimizedtruetree,-54868.7680,139,110015.5360,110124.2511,110600.8094,0,44.814031960899996
NP,opisthokonta,2,m5,optimizedtruetree,-60924.3835,138,122124.7670,122231.6305,122705.8298,0,45.532647384799986
NP,opisthokonta,2,poisson,optimizedtruetree,-56014.7001,137,112303.4001,112408.4335,112880.2524,0,24.870525849700012
NP,prum,2,m1,inferredtree,-27429.2668,417,55692.5336,60050.1836,57448.3538,78,9.893508907800005
NP,prum,2,m2,inferredtree,-28233.9289,417,57301.8578,61659.5078,59057.6781,86,10.499922336499992
NP,prum,2,m3,inferredtree,-28782.1719,417,58398.3439,62755.9939,60154.1641,76,8.190565253900004
NP,prum,2,m4,inferredtree,-29175.7621,398,59147.5242,62355.6454,60823.3430,84,9.377286474600005
NP,prum,2,m5,inferredtree,-32962.6964,397,66719.3928,69879.5128,68391.0010,80,10.725872450400004
NP,prum,2,poisson,inferredtree,-29908.6666,397,60611.3332,63771.4532,62282.9414,78,7.952411048199995
NP,prum,2,m1,optimizedtruetree,-27455.7609,417,55745.5218,60103.1718,57501.3420,0,9.965698618400005
NP,prum,2,m2,optimizedtruetree,-28260.5771,417,57355.1541,61712.8041,59110.9744,0,10.562849880400003
NP,prum,2,m3,optimizedtruetree,-28818.2239,417,58470.4478,62828.0978,60226.2680,0,8.2056238171
NP,prum,2,m4,optimizedtruetree,-29206.2788,398,59208.5576,62416.6788,60884.3764,0,9.470320408800006
NP,prum,2,m5,optimizedtruetree,-33021.2819,397,66836.5638,69996.6838,68508.1720,0,10.750486137900005
NP,prum,2,poisson,optimizedtruetree,-29941.6878,397,60677.3756,63837.4956,62348.9839,0,7.9693110734999975
NP,ruhfel,2,m1,inferredtree,-81551.0809,697,164496.1618,1137508.1618,167430.9500,108,34.77522666289997
NP,ruhfel,2,m2,inferredtree,-84028.8285,715,169487.6570,1193367.6570,172498.2361,110,42.380548991899985
NP,ruhfel,2,m3,inferredtree,-85264.0357,715,171958.0714,1195838.0714,174968.6505,110,42.770350840300004
NP,ruhfel,2,m4,inferredtree,-86968.6127,697,175331.2255,1148343.2255,178266.0137,122,50.74951379980001
NP,ruhfel,2,m5,inferredtree,-97148.5113,696,195689.0226,1165913.0226,198619.6003,120,51.2131257548
NP,ruhfel,2,poisson,inferredtree,-88431.8986,695,178253.7972,1145693.7972,181180.1642,118,31.981539131799995
NP,ruhfel,2,m1,optimizedtruetree,-81567.4139,697,164528.8278,1137540.8278,167463.6160,26,34.68138796940003
NP,ruhfel,2,m2,optimizedtruetree,-84057.2610,715,169544.5220,1193424.5220,172555.1011,26,42.304000096999964
NP,ruhfel,2,m3,optimizedtruetree,-85292.2663,715,172014.5325,1195894.5325,175025.1116,26,42.85598510579997
