name,tree,repl,model,modelq
HA,yeast,14,mtART,5
HA,yeast,15,JTT+F+G4,1
HA,yeast,15,VT+F,2
HA,yeast,15,PMB,3
HA,yeast,15,mtMAM+F+G4,4
HA,yeast,15,mtART,5
HA,yeast,16,JTT+F+G4,1
HA,yeast,16,FLU+F+G4,2
HA,yeast,16,cpREV,3
HA,yeast,16,mtVer+F,4
HA,yeast,16,mtART,5
HA,yeast,17,JTT+F+G4,1
HA,yeast,17,JTTDCMut,2
HA,yeast,17,cpREV,3
HA,yeast,17,mtVer+F,4
HA,yeast,17,mtART,5
HA,yeast,18,JTT+F+G4,1
HA,yeast,18,cpREV+G4,2
HA,yeast,18,DCMut+F,3
HA,yeast,18,mtMAM+F+G4,4
HA,yeast,18,mtART,5
HA,yeast,19,JTT+F+G4,1
HA,yeast,19,WAG+F,2
HA,yeast,19,cpREV,3
HA,yeast,19,mtVer+F,4
HA,yeast,19,mtART,5
HA,yeast,20,JTT+F+G4,1
HA,yeast,20,WAG+F,2
HA,yeast,20,mtVer+F+G4,3
HA,yeast,20,rtREV,4
HA,yeast,20,mtART,5
HA,greenplant,1,JTT+F+G4,1
HA,greenplant,1,HIVb,2
HA,greenplant,1,cpREV,3
HA,greenplant,1,rtREV+F,4
HA,greenplant,1,mtART,5
HA,greenplant,2,JTT+F+G4,1
HA,greenplant,2,DCMut+F+G4,2
HA,greenplant,2,PMB+F,3
HA,greenplant,2,rtREV+F,4
HA,greenplant,2,mtART,5
HA,greenplant,3,JTT+G4,1
HA,greenplant,3,PMB+F+G4,2
HA,greenplant,3,PMB+F,3
HA,greenplant,3,rtREV+F,4
HA,greenplant,3,mtART,5
HA,greenplant,4,JTT+F+G4,1
HA,greenplant,4,PMB+G4,2
HA,greenplant,4,cpREV,3
HA,greenplant,4,rtREV+F,4
HA,greenplant,4,mtART,5
HA,greenplant,5,JTT+F+G4,1
HA,greenplant,5,PMB+F+G4,2
HA,greenplant,5,PMB,3
HA,greenplant,5,mtMet+G4,4
HA,greenplant,5,mtART,5
HA,greenplant,6,JTT+F+I+G4,1
HA,greenplant,6,DCMut+F+I+G4,2
HA,greenplant,6,mtREV+F+I+G4,3
HA,greenplant,6,rtREV+F,4
HA,greenplant,6,mtART,5
HA,greenplant,7,JTT+F+G4,1
HA,greenplant,7,HIVb,2
HA,greenplant,7,HIVw+G4,3
HA,greenplant,7,mtMet+G4,4
HA,greenplant,7,mtART,5
HA,greenplant,8,JTT+F+G4,1
HA,greenplant,8,VT+F,2
HA,greenplant,8,PMB+F,3
HA,greenplant,8,rtREV+F,4
HA,greenplant,8,mtART,5
