name,tree,repl,bic,model,modelr
HA,opisthokonta,5,NA,mtART+I,5
HA,opisthokonta,6,NA,JTT+F+G4,1
HA,opisthokonta,6,NA,PMB+F,2
HA,opisthokonta,6,NA,mtMAM+G4,3
HA,opisthokonta,6,NA,mtART+F,4
HA,opisthokonta,6,NA,mtART,5
HA,opisthokonta,7,NA,JTT+F+G4,1
HA,opisthokonta,7,NA,Dayhoff+F,2
HA,opisthokonta,7,NA,mtART+F+G4,3
HA,opisthokonta,7,NA,mtART+F,4
HA,opisthokonta,7,NA,mtART,5
HA,opisthokonta,8,NA,JTT+F+G4,1
HA,opisthokonta,8,NA,HIVw+I+G4,2
HA,opisthokonta,8,NA,mtMAM+G4,3
HA,opisthokonta,8,NA,mtART+F+I,4
HA,opisthokonta,8,NA,mtART,5
HA,opisthokonta,9,NA,JTT+F+G4,1
HA,opisthokonta,9,NA,DCMut+F+I,2
HA,opisthokonta,9,NA,mtART+F+I+G4,3
HA,opisthokonta,9,NA,mtART+F,4
HA,opisthokonta,9,NA,mtART+I,5
HA,opisthokonta,10,NA,JTT+F+I+G4,1
HA,opisthokonta,10,NA,HIVw+F,2
HA,opisthokonta,10,NA,mtMAM+G4,3
HA,opisthokonta,10,NA,mtART+F+I,4
HA,opisthokonta,10,NA,mtART,5
HA,opisthokonta,11,NA,JTT+F+G4,1
HA,opisthokonta,11,NA,Dayhoff+F,2
HA,opisthokonta,11,NA,mtMAM+G4,3
HA,opisthokonta,11,NA,mtART+F+I,4
HA,opisthokonta,11,NA,mtART,5
HA,opisthokonta,12,NA,JTT+F+G4,1
HA,opisthokonta,12,NA,rtREV+I+G4,2
HA,opisthokonta,12,NA,mtMAM+G4,3
HA,opisthokonta,12,NA,mtART+F+I,4
HA,opisthokonta,12,NA,mtART,5
HA,opisthokonta,13,NA,JTT+F+G4,1
HA,opisthokonta,13,NA,HIVw+G4,2
HA,opisthokonta,13,NA,mtART+F+I+G4,3
HA,opisthokonta,13,NA,mtART+F+I,4
HA,opisthokonta,13,NA,mtART,5
HA,opisthokonta,14,NA,JTT+F+I+G4,1
HA,opisthokonta,14,NA,HIVw+F,2
HA,opisthokonta,14,NA,mtART+F+G4,3
HA,opisthokonta,14,NA,mtART+F+I,4
HA,opisthokonta,14,NA,mtART,5
HA,opisthokonta,15,NA,JTT+F+G4,1
HA,opisthokonta,15,NA,Blosum62+F,2
HA,opisthokonta,15,NA,mtART+F+G4,3
HA,opisthokonta,15,NA,mtZOA,4
HA,opisthokonta,15,NA,mtART,5
HA,opisthokonta,16,NA,JTT+F+G4,1
HA,opisthokonta,16,NA,Blosum62+F,2
HA,opisthokonta,16,NA,mtART+F+G4,3
HA,opisthokonta,16,NA,mtART+F,4
HA,opisthokonta,16,NA,mtART,5
HA,opisthokonta,17,NA,JTT+F+G4,1
HA,opisthokonta,17,NA,HIVw+F,2
HA,opisthokonta,17,NA,mtART+F+G4,3
HA,opisthokonta,17,NA,mtART+F,4
HA,opisthokonta,17,NA,mtART,5
HA,opisthokonta,18,NA,JTT+F+G4,1
HA,opisthokonta,18,NA,PMB+F,2
HA,opisthokonta,18,NA,mtART+F+I+G4,3
HA,opisthokonta,18,NA,mtART+F+I,4
HA,opisthokonta,18,NA,mtART,5
HA,opisthokonta,19,NA,JTT+F+G4,1
HA,opisthokonta,19,NA,Blosum62+F,2
HA,opisthokonta,19,NA,mtART+F+G4,3
HA,opisthokonta,19,NA,mtART+F,4
HA,opisthokonta,19,NA,mtART,5
HA,opisthokonta,20,NA,JTT+F+G4,1
HA,opisthokonta,20,NA,PMB,2
HA,opisthokonta,20,NA,mtART+F+I+G4,3
HA,opisthokonta,20,NA,mtART+F+I,4
HA,opisthokonta,20,NA,mtART,5
HA,prum,1,NA,HIVb+G4,1
HA,prum,1,NA,cpREV,2
HA,prum,1,NA,mtMAM+G4,3
HA,prum,1,NA,mtMAM+I,4
HA,prum,1,NA,mtART,5
HA,prum,2,NA,HIVb+G4,1
HA,prum,2,NA,Blosum62+F+I+G4,2
HA,prum,2,NA,mtInv,3
HA,prum,2,NA,mtART+I+G4,4
HA,prum,2,NA,mtART,5
HA,prum,3,NA,JTT+G4,1
HA,prum,3,NA,PMB+I,2
HA,prum,3,NA,mtREV+I,3
HA,prum,3,NA,mtMAM+I,4
HA,prum,3,NA,mtART,5
HA,prum,4,NA,HIVb+G4,1
HA,prum,4,NA,PMB+I,2
HA,prum,4,NA,mtZOA+F+I,3
HA,prum,4,NA,mtART+I+G4,4
HA,prum,4,NA,mtART,5
HA,prum,5,NA,HIVb+G4,1
HA,prum,5,NA,FLU+F+I,2
HA,prum,5,NA,mtMAM+G4,3
HA,prum,5,NA,mtART+I+G4,4
HA,prum,5,NA,mtART,5
