name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,1,mtMet,87556.478,189,175490.957,175682.989,176310.282
HA,yeast,1,mtMet+G4,85003.851,190,170387.702,170582.286,171211.362
HA,yeast,1,mtMet+F,84252.658,208,168921.317,169166.230,169823.008
HA,yeast,1,mtMet+F+G4,82007.297,209,164432.594,164680.560,165338.621
HA,yeast,1,mtVer,88086.565,189,176551.130,176743.162,177370.455
HA,yeast,1,mtVer+G4,85259.895,190,170899.790,171094.374,171723.450
HA,yeast,1,mtVer+F,84647.195,208,169710.389,169955.302,170612.080
HA,yeast,1,mtVer+F+G4,82424.076,209,165266.153,165514.119,166172.179
HA,yeast,1,mtInv,87808.354,189,175994.709,176186.741,176814.034
HA,yeast,1,mtInv+G4,85517.085,190,171414.171,171608.755,172237.831
HA,yeast,1,mtInv+F,83735.015,208,167886.030,168130.943,168787.721
HA,yeast,1,mtInv+F+G4,81676.736,209,163771.472,164019.438,164677.498
HA,yeast,2,Dayhoff,82945.320,189,166268.640,166460.672,167087.965
HA,yeast,2,Dayhoff+G4,81248.946,190,162877.893,163072.477,163701.553
HA,yeast,2,Dayhoff+F,81909.464,208,164234.928,164479.841,165136.619
HA,yeast,2,Dayhoff+F+G4,80245.338,209,160908.675,161156.641,161814.702
HA,yeast,2,mtMAM,90489.356,189,181356.712,181548.744,182176.037
HA,yeast,2,mtMAM+G4,87004.859,190,174389.718,174584.303,175213.379
HA,yeast,2,mtMAM+F,86764.924,208,173945.848,174190.761,174847.539
HA,yeast,2,mtMAM+F+G4,83946.278,209,168310.557,168558.523,169216.583
HA,yeast,2,JTT,80322.044,189,161022.088,161214.120,161841.413
HA,yeast,2,JTT+G4,79030.895,190,158441.790,158636.374,159265.450
HA,yeast,2,JTT+F,80034.028,208,160484.056,160728.968,161385.747
HA,yeast,2,JTT+F+G4,78661.125,209,157740.250,157988.216,158646.277
HA,yeast,2,WAG,80986.526,189,162351.052,162543.084,163170.377
HA,yeast,2,WAG+G4,79752.006,190,159884.012,160078.597,160707.673
HA,yeast,2,WAG+F,80280.538,208,160977.077,161221.989,161878.768
HA,yeast,2,WAG+F+G4,79032.724,209,158483.448,158731.414,159389.474
HA,yeast,2,cpREV,81574.747,189,163527.494,163719.527,164346.820
